track,MEF bulk,cluster0,cluster1,mESC bulk
MEF bulk,1,0.646609371516758,-0.171499397047951,-0.213040083281919
cluster0,0.646609371516758,1,-0.241883767187374,-0.20736979396668
cluster1,-0.171499397047951,-0.241883767187374,1,0.666104004913199
mESC bulk,-0.213040083281919,-0.20736979396668,0.666104004913199,1
