set	Term	P.value	Adjusted.P.value	Combined.Score	Genes
cl0_only	Positive Regulation Of DNA-templated Transcription (GO:0045893)	0.000735048471374373	0.211071995664656	10.0865104672451	CSF3;CRTC3;FHOD1;CCNC;NUCKS1;TBK1;ZMIZ1;MEF2A;ACVR1;LMO1;PCID2;MRTFA;LMO7;POU3F1;RUNX3;RUNX2;HCFC1;RUNX1;ATF4;CASZ1;NOTCH4;GATA6;PIK3R1;MRPL12;HIF1A;MED12L;GLIS2;SBNO2;DEAF1;E4F1;CAMTA2;ALX1;WNT1;MAP2K5;ZBED3;TFAP2A;EGR1;JUN;EGR2;JUP;MICAL2;NFATC1;IGF1;MT3;ESR1;COL1A1;GDNF;LHX2;AGO1;RFXAP;UBA2;HOXD3;ARF4;CSRNP1;DDX3X;ELL;AKAP8L;WASL;PKD2;LITAF;MYDGF;EDRF1;HYAL2;NCK2;UBTF;MYBL2;ACTR2;ATMIN;ACTR6;TCF12;MSL3;PAX3;TET1;ETV1;TNFRSF1A;KAT2B;ZEB2;ELF2;TET3;RARA;TLR9;IRF6;FOXC2;RNASEL;FOXC1;CEBPB;NFIX;CEBPG;MOSPD1;FOXK1;NR2C2;ASCL2;EGFR;CAND2;NSD3;RXRA;ERBB4;HAS3;SPP1;E2F2;E2F7;ARNT2;NPM1;DAB2IP;FOXJ2;NR1H3;RRP1B;USF2;MEIS2;APLN;VEGFA;MEIS1;KLF5;TAF5;CAMK1;TAF3;LPIN2;SSBP3;LPIN3;SSBP4
cl0_only	Skeletal System Development (GO:0001501)	0.00112239221854194	0.299277867986932	15.156975003558	GDF11;PKDCC;LECT2;CHRD;IGF1;HOXA13;PTHLH;COMP;COL1A1;MMP14;MMP16;DEAF1;FRZB;HYAL2;GNAS;ITGB8;RPL13;HOXD3;NOTUM;SOX6;WNT1;MATN3
cl0_only	Macroautophagy (GO:0016236)	0.00128814372995115	0.304014128624252	16.728302860012	GABARAPL1;SRC;VPS33A;VPS37D;KLHL3;SNF8;TCIRG1;WIPI2;VAMP8;CLN3;PIP4K2A;PGAM5;ATP13A2;VPS25;ATG7;VPS28;VTI1B
cl0_only	Regulation Of Cell Migration (GO:0030334)	0.0013950004669592	0.304014128624252	10.833076427317	FLT4;TRADD;ZMYND8;PTEN;PIK3CD;LDLRAD4;FGF9;DPYSL3;SEMA6B;ACVR1;PDGFRB;DUSP3;WNT5B;SPHK1;TET1;PRKCA;RHOC;SAP30;RAP2C;TIAM1;MMP14;LRRC15;CD151;SRC;SEMA3B;CHRD;SEMA3G;PDGFA;EGFR;FAM83H;CLN3;CCL7;ERBB4;FYN;RFFL;SPAG9;RCC2;LAMB1;IGF1;VEGFA;COL1A1;SH3RF2;MYO1C;APC;DLG5;FGF18;NF1;EPPK1;RECK
cl0_only	Regulation Of Actin Filament-Based Process (GO:0032970)	0.00142293265000937	0.304014128624252	19.210697587919	PDGFRB;PRKCD;HIP1R;ARHGAP18;PDGFA;CORO2B;ARHGAP44;SH3BP1;FSCN1;CDK10;RICTOR;PAK3;ARHGEF5
cl0_only	Positive Regulation Of Protein Kinase C Signaling (GO:0090037)	0.00152723750841584	0.304014128624252	83.0419622870041	SPHK2;FLT4;ADRA1D;VEGFA
cl0_only	Neuron Projection Development (GO:0031175)	0.00154735291825899	0.304014128624252	13.0654376882912	TRIO;PTEN;PTPRM;WASL;FRY;CAMSAP2;PPP1R9B;SAMD14;OPHN1;UBB;STMN1;MICALL1;DIP2A;MAP4;PAK3;SLC25A46;DAB2IP;DTNBP1;LAMB1;NGF;MAPK8IP3;RAB11A;GDNF;CTTN;TBC1D24;GAS7
cl0_only	Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)	0.00198901894119139	0.354229724602992	15.9922284506583	ACVR1;ANGPT4;CSF3;ANGPT1;SRC;TNK2;PRKCD;PDGFA;IGF1;EGFR;VEGFA;GHR;RAP2C;FYN;FGF10
cl0_only	Neuron Projection Morphogenesis (GO:0048812)	0.0020021089485872	0.354229724602992	13.4390970325834	MEF2A;FARP1;TRIO;PTEN;DAB2IP;DTNBP1;LRP4;IQGAP1;WASL;SLC39A12;NGF;ZDHHC17;IMPACT;UBB;CTTN;MAP1A;TRIM46;DIP2A;NRCAM;PAK3;GAS7
cl0_only	Regulation Of Actin Cytoskeleton Organization (GO:0032956)	0.00222515673406756	0.354229724602992	15.4963252120832	PDGFRB;CSF3;PRKCD;HIP1R;ARHGAP18;PDGFA;CORO2B;ARHGAP44;SH3BP1;FSCN1;ABL2;CDK10;RICTOR;PAK3;ARHGEF5
