Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	set
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	102/938	2.41556796772341e-05	0.0852001239178638	0	0	1.60076555023923	17.0177241932318	CSF3;CRTC3;FHOD1;ZMYND8;CCNC;NUCKS1;TBK1;ZMIZ1;MEF2A;ACVR1;LMO1;MRTFA;LMO7;RUNX2;HCFC1;RUNX1;ATF4;CASZ1;NOTCH4;GATA6;PIK3R1;HIF1A;MED12L;GLIS2;SBNO2;E4F1;CAMTA2;ALX1;MAP2K5;ZBED3;TFAP2A;EGR1;JUN;EGR2;JUP;MICAL2;SMAD9;NFATC1;IGF1;ESR1;GDNF;AGO1;RFXAP;TAF4B;UBA2;HOXD3;ARF4;CSRNP1;DDX3X;ELL;AKAP8L;WASL;PKD2;LITAF;MYDGF;HYAL2;NCK2;MYBL2;ACTR2;ATMIN;TCF12;PAX3;TET1;ETV1;TNFRSF1A;KAT2B;ZEB2;TET3;RARA;TLR9;IRF6;FOXC2;RNASEL;FOXC1;CEBPB;NFIX;CEBPG;MOSPD1;NR2C2;ASCL2;EGFR;RXRA;E2F2;E2F7;ARNT2;NPM1;DAB2IP;FOXJ2;NR1H3;RRP1B;USF2;MEIS2;VEGFA;MEIS1;KLF5;TAF5;CAMK1;TAF3;LPIN2;SSBP3;LPIN3;SSBP4	cl0_only
Protein Phosphorylation (GO:0006468)	61/500	4.56469991523513e-05	0.0852001239178638	0	0	1.8089753688289	18.0799358164932	EPHB6;FLT4;PRKAG2;PIK3CD;STK11;TBK1;PRKG2;PDK3;MAP3K6;IKBKE;PRKG1;ACVR1;PDGFRB;MAP4K2;EPHA6;CAMK1D;PRKCE;PRKCD;PRKCA;CSNK1D;CSNK1E;PASK;RUNX3;YWHAZ;RARA;ULK3;TLR9;ULK2;BLK;RNASEL;LTK;PKDCC;PKN3;SRC;STK39;EGFR;NUAK2;ERBB4;ABL2;CCL2;RICTOR;FYN;PAK3;MAP4K3;PLK2;CDC42BPG;DAB2IP;BRAF;CDC42BPB;SRPK1;CLK2;CDK6;SBK1;WNK1;CDK10;TAF4B;ATP13A2;PKN1;CAMK1;TAF5;TAF3	cl0_only
Actin Polymerization Or Depolymerization (GO:0008154)	13/53	7.98503306033088e-05	0.0993604280473839	0	0	4.18005559416261	39.4403149005169	GSN;WDR1;WIPF1;FLII;MICAL2;CAPG;WASL;TTC17;ENAH;PSTPIP2;MICAL1;SPIRE2;GAS7	cl0_only
Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)	10/37	0.000223773622082357	0.144047893779723	0	0	4.75702470848102	39.9822010570794	DNMT1;EFEMP2;JUN;TAFA5;FGF9;PTEN;FOXJ2;IGF1;PRKG1;APLN	cl0_only
Vascular Endothelial Growth Factor Signaling Pathway (GO:0038084)	6/14	0.000261668811923371	0.144047893779723	0	0	9.61618257261411	79.3184177648075	FOXC1;MYO1C;FLT4;PIK3CD;VEGFC;VEGFA	cl0_only
Actin Filament Organization (GO:0007015)	23/144	0.00028178229505612	0.144047893779723	0	0	2.4511216882869	20.0363897834519	GSN;TPM4;WIPF1;SH3KBP1;TPM2;FLII;HIP1R;EMP2;CAPG;WASL;CNN3;PPP1R9B;ENAH;SAMD14;MYO1B;MYO1C;SH3BP1;TRPV4;DPYSL3;CORO6;SPIRE2;DBN1;ZBED3	cl0_only
Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000134)	9/32	0.000331740055405661	0.144047893779723	0	0	5.0235017626322	40.2440706608242	KANK2;RBL2;PLK3;APC;NACC2;PTEN;CCL2;PKD2;E2F7	cl0_only
Positive Regulation Of Cell Migration (GO:0030335)	36/272	0.000343533143662286	0.144047893779723	0	0	1.97270899166906	15.7347746492207	LRRC15;DOCK5;CD151;SRC;FLT4;TRADD;SEMA3B;SEMA3G;PDGFA;PIK3CD;HIF1A;EGFR;FAM83H;CCL7;S100A11;ACVR1;PDGFRB;SEMA6B;SPAG9;WNT5B;PRKCE;SPHK1;DAB2IP;PRKCA;LAMB1;IGF1;RHOC;RAB11A;VEGFA;COL1A1;TIAM1;SH3RF2;MMP14;MYO1C;APC;FGF10	cl0_only
Phosphorylation (GO:0016310)	51/429	0.000347289323337131	0.144047893779723	0	0	1.7498272209193	13.937990349777	EPHB6;PRKAG2;PIK3CD;HK2;STK11;TBK1;PRKG2;PDK3;MAP3K6;IKBKE;PRKG1;ACVR1;MAP4K2;EPHA6;SPHK2;PRKCE;SPHK1;PRKCD;PRKCA;CSNK1D;CSNK1E;PASK;RUNX3;YWHAZ;RARA;DGKH;RNASEL;LTK;PKN3;STK39;NUAK2;CCL2;RICTOR;FYN;PAK3;MAP4K3;PLK2;TNK2;CDC42BPG;BRAF;CDC42BPB;SRPK1;CLK2;CDK6;WNK1;CDK10;TAF4B;PKN1;CAMK1;TAF5;TAF3	cl0_only
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	37/284	0.000390491990260749	0.145770659964338	0	0	1.93741720433184	15.2050499680677	EPHB6;BLK;SHC4;FOXC2;FOXC1;LTK;SRC;FLT4;MVP;PDGFA;PIK3R1;EGFR;GHR;UBASH3B;FGF9;ERBB3;ERBB4;STMN1;BDKRB2;SHOC2;FYN;PAK3;PDGFRB;EPHA6;ANGPT1;VEGFC;IGF1;SORBS1;NGF;VAV2;VEGFA;TIAM1;CNKSR1;DOK6;FGF18;GRB2;NGEF	cl0_only
