track,MEF bulk,cluster0,cluster1,mESC bulk
MEF bulk,1,0.669850835054334,0.287723002063335,0.157601452248379
cluster0,0.669850835054334,1,0.452104621983219,0.181656313263452
cluster1,0.287723002063335,0.452104621983219,1,0.578749093903879
mESC bulk,0.157601452248379,0.181656313263452,0.578749093903879,1
