set	gene
cl0_only	Cand2
cl0_only	Snora7a
cl0_only	H1f8
cl0_only	Wnt5b
cl0_only	Wnk1
cl0_only	B4galnt3
cl0_only	Phc1
cl0_only	Foxj2
cl0_only	C1ra
cl0_only	Usp5
cl0_only	Ltbr
cl0_only	Tnfrsf1a
cl0_only	Fkbp4
cl0_only	Clec2i
cl0_only	2310001H17Rik
cl0_only	Gabarapl1
cl0_only	Klrc1
cl0_only	Klra2
cl0_only	Etv6
cl0_only	Fam234b
cl0_only	Gm36582
cl0_only	Mgp
cl0_only	Plekha5
cl0_only	Rassf8
cl0_only	Sspn
cl0_only	Itpr2
cl0_only	Klhl42
cl0_only	Pthlh
cl0_only	Mboat7
cl0_only	Leng9
cl0_only	Tmem238
cl0_only	Ssc5d
cl0_only	Zfp579
cl0_only	2900092C05Rik
cl0_only	9330104G04Rik
cl0_only	Gng8
cl0_only	Ppp5c
cl0_only	Cd3eap
cl0_only	Nectin2
cl0_only	Zfp112
cl0_only	Zfp109
cl0_only	Irgq
cl0_only	Phldb3
cl0_only	Lypd3
cl0_only	Grik5
cl0_only	Mir7048
cl0_only	Erf
cl0_only	Tmem145
cl0_only	Dmac2
cl0_only	Itpkc
cl0_only	Numbl
cl0_only	Ltbp4
cl0_only	Zfp850
cl0_only	Fam98c
cl0_only	Psmd8
cl0_only	Mir7668
cl0_only	Capns1
cl0_only	Usf2
cl0_only	Scn1b
cl0_only	Uba2
cl0_only	Pdcd2l
cl0_only	Kctd15
cl0_only	Cebpg
cl0_only	Plekhf1
cl0_only	Izumo2
cl0_only	Pnkp
cl0_only	Ppp1r15a
cl0_only	Sphk2
cl0_only	Sult2b1
cl0_only	Emp3
cl0_only	Mkrn3
cl0_only	Peg12
cl0_only	Chsy1
cl0_only	Mef2a
cl0_only	Isg20
cl0_only	Crtc3
cl0_only	Iqgap1
cl0_only	Ramac
cl0_only	Adamtsl3
cl0_only	Arnt2
cl0_only	Me3
cl0_only	Ddias
cl0_only	Prcp
cl0_only	Relt
cl0_only	Mir139
cl0_only	Pgap2
cl0_only	Trim30d
cl0_only	Lmo1
cl0_only	Dennd5a
cl0_only	Ampd3
cl0_only	1700012D14Rik
cl0_only	Mical2
cl0_only	Parva
cl0_only	Sox6
cl0_only	Plekha7
cl0_only	Rps15a
cl0_only	Vps35l
cl0_only	Polr3e
cl0_only	Xpo6
cl0_only	Sbk1
cl0_only	Cln3
cl0_only	Nupr1
cl0_only	Tmem219
cl0_only	Mvp
cl0_only	Zfp629
cl0_only	Zfp668
cl0_only	Prss36
cl0_only	Hmx2
cl0_only	Fam53b
cl0_only	Edrf1
cl0_only	Mapk1ip1
cl0_only	Adam8
cl0_only	Deaf1
cl0_only	Slc25a22
cl0_only	Cd151
cl0_only	Tnnt3
cl0_only	Mrpl23
cl0_only	Ascl2
cl0_only	Cttn
cl0_only	Mrgprf
cl0_only	Snapc2
cl0_only	Spaca7
cl0_only	Pcid2
cl0_only	5830408C22Rik
cl0_only	5430421F17Rik
cl0_only	Nsd3
cl0_only	2310008N11Rik
cl0_only	Unc5d
cl0_only	Eri1
cl0_only	Mfhas1
cl0_only	Mir7666
cl0_only	Mtnr1a
cl0_only	Acsl1
cl0_only	Cdkn2aip
cl0_only	Vegfc
cl0_only	Sap30
cl0_only	Palld
cl0_only	Npy1r
cl0_only	Gmip
cl0_only	Cers1
cl0_only	Comp
cl0_only	Ell
cl0_only	Ssbp4
cl0_only	Pgpep1
cl0_only	Iqcn
cl0_only	Nr2f6
cl0_only	Tpm4
cl0_only	Smim7
cl0_only	Zfp827
cl0_only	Pkn1
cl0_only	Mir8111
cl0_only	Mir23a
cl0_only	Nfix
cl0_only	Dhps
cl0_only	Mir8109
cl0_only	N4bp1
cl0_only	Adcy7
cl0_only	Chd9
cl0_only	Rbl2
cl0_only	Amfr
cl0_only	Mt3
cl0_only	Herpud1
cl0_only	Kifc3
cl0_only	Bean1
cl0_only	Cmtm3
cl0_only	Cmtm4
cl0_only	B3gnt9
cl0_only	Tradd
cl0_only	Hsf4
cl0_only	Fhod1
cl0_only	Slc12a4
cl0_only	Esrp2
cl0_only	Has3
cl0_only	Ist1
cl0_only	Cog4
cl0_only	Pdpr
cl0_only	Glg1
cl0_only	Maf
cl0_only	Atmin
cl0_only	Gcsh
cl0_only	Gse1
cl0_only	Foxc2
cl0_only	Mvd
cl0_only	Rpl13
cl0_only	Cdk10
cl0_only	Spire2
cl0_only	Tcf25
cl0_only	Dbndd1
cl0_only	Galnt2
cl0_only	Tarbp1
cl0_only	Irf2bp2
cl0_only	Nrp1
cl0_only	Mmp13
cl0_only	Mmp3
cl0_only	Arhgap42
cl0_only	Sesn3
cl0_only	Endod1
cl0_only	Piwil4
cl0_only	Dnmt1
cl0_only	S1pr2
cl0_only	Icam5
cl0_only	Ldlr
cl0_only	Kank2
cl0_only	Pigyl
cl0_only	1810064F22Rik
cl0_only	Anln
cl0_only	Septin7
cl0_only	Pknox2
cl0_only	Vsig2
cl0_only	Olfr983
cl0_only	Hspa8
cl0_only	Ubash3b
cl0_only	Bace1
cl0_only	Rnf214
cl0_only	Pafah1b2
cl0_only	Ttc12
cl0_only	Ncam1
cl0_only	Dixdc1
cl0_only	4833427G06Rik
cl0_only	Zc3h12c
cl0_only	Cul5
cl0_only	Neil1
cl0_only	1700017B05Rik
cl0_only	Ppcdc
cl0_only	Fam219b
cl0_only	Ulk3
cl0_only	Islr2
cl0_only	Nptn
cl0_only	Kif23
cl0_only	Coro2b
cl0_only	Map2k5
cl0_only	Smad6
cl0_only	Zwilch
cl0_only	Rab11a
cl0_only	Pdcd7
cl0_only	Plekho2
cl0_only	Rbpms2
cl0_only	Snx22
cl0_only	Mir190a
cl0_only	C2cd4b
cl0_only	Myzap
cl0_only	Tcf12
cl0_only	Tex9
cl0_only	Fbxo9
cl0_only	Gm3776
cl0_only	Gsta2
cl0_only	Cd109
cl0_only	Gm2109
cl0_only	Tent5a
cl0_only	Ibtk
cl0_only	Tpbg
cl0_only	Tbx18
cl0_only	Plscr4
cl0_only	Slc9a9
cl0_only	Nmnat3
cl0_only	Rbp2
cl0_only	Mras
cl0_only	Stag1
cl0_only	Gm5627
cl0_only	Tlr9
cl0_only	Rassf1
cl0_only	Hyal2
cl0_only	Sema3b
cl0_only	Actl11
cl0_only	Traip
cl0_only	Amigo3
cl0_only	4930447F24Rik
cl0_only	Lamb2
cl0_only	P4htm
cl0_only	Shisa5
cl0_only	Spink8
cl0_only	Map4
cl0_only	Stac
cl0_only	4930520O04Rik
cl0_only	Osbpl10
cl0_only	Csrnp1
cl0_only	Trak1
cl0_only	2010204K13Rik
cl0_only	Ccdc22
cl0_only	Wdr45
cl0_only	Gripap1
cl0_only	Porcn
cl0_only	Lancl3
cl0_only	Ddx3x
cl0_only	Maoa
cl0_only	Timp1
cl0_only	Akap17b
cl0_only	C330007P06Rik
cl0_only	Btg1b
cl0_only	Stag2
cl0_only	Apln
cl0_only	Rap2c
cl0_only	Hs6st2
cl0_only	Mospd1
cl0_only	Atp11c
cl0_only	Fmr1os
cl0_only	Aff2
cl0_only	Hcfc1
cl0_only	Prrg1
cl0_only	Pdk3
cl0_only	Ophn1
cl0_only	Dlg3
cl0_only	Rtl5
cl0_only	Magee1
cl0_only	Brwd3
cl0_only	Chm
cl0_only	Armcx2
cl0_only	Pwwp3b
cl0_only	Tbc1d8b
cl0_only	Morc4
cl0_only	Tsc22d3
cl0_only	Col4a5
cl0_only	Pak3
cl0_only	Il13ra2
cl0_only	Fam120c
cl0_only	Ribc1
cl0_only	Iqsec2
cl0_only	Klf8
cl0_only	Sh3kbp1
cl0_only	Scml2
cl0_only	Gm1720
cl0_only	Prps2
cl0_only	Msl3
cl0_only	Ddx3y
both	Xkr4
both	Mrpl15
both	Lypla1
both	Tcea1
both	Rgs20
both	Atp6v1h
both	Rb1cc1
both	Pcmtd1
both	Rrs1
both	2610203C22Rik
both	Mybl1
both	1700034P13Rik
both	Snord87
both	Cops5
both	Arfgef1
both	Prex2
both	Sulf1
both	Ncoa2
both	Lactb2
both	Eya1
both	Kcnb2
both	Terf1
both	Rpl7
both	Ube2w
both	Eloc
both	Tmem70
both	Ly96
both	Pkhd1
both	Mir206
both	Mcm3
both	6720483E21Rik
both	Efhc1
both	Tram2
both	Tmem14a
both	Mir30a
both	Ogfrl1
both	Sdhaf4
both	Fam135a
both	Lmbrd1
both	Gm13363
both	Khdrbs2
both	Gm32229
both	Bend6
both	Dst
both	Ccdc115
both	Fam168b
both	Plekhb2
both	Hs6st1
both	Uggt1
both	Arid5a
both	Kansl3
both	Lman2l
both	Cnnm4
both	Cnnm3
both	Ankrd39
both	Sema4c
both	Cox5b
both	Actr1b
both	Tmem131
both	Inpp4a
both	Coa5
both	Mgat4a
both	Tsga10
both	Lipt1
both	Mitd1
both	Txndc9
both	Rev1
both	Aff3
both	Pdcl3
both	Rpl31
both	Tbc1d8
both	Cnot11
both	Rnf149
both	Map4k4
both	Il1r1
both	Il1rl1
both	Mfsd9
both	Mrps9
both	Tgfbrap1
both	Fhl2
both	Uxs1
both	Tpp2
both	Tex30
both	Poglut2
both	Ercc5
both	Gulp1
both	Wdr75
both	Slc40a1
both	Dnah7b
both	Slc39a10
both	Tmeff2
both	Cavin2
both	Nabp1
both	Myo1b
both	Stat1
both	Gls
both	Nab1
both	Nemp2
both	Inpp1
both	Hibch
both	Pms1
both	Osgepl1
both	Asdurf
both	Stk17b
both	Ccdc150
both	Gtf3c3
both	Pgap1
both	Ankrd44
both	Sf3b1
both	Coq10b
both	Hspd1
both	Mob4
both	Mars2
both	Plcl1
both	Satb2
both	9130024F11Rik
both	4930558J18Rik
both	Maip1
both	Kctd18
both	Sgo2a
both	Aox1
both	Bzw1
both	Nif3l1
both	Orc2
both	Fam126b
both	Gm20257
both	Cflar
both	Casp8
both	Trak2
both	Tmem237
both	Mpp4
both	Als2
both	Fzd7
both	Sumo1
both	Bmpr2
both	Fam117b
both	Wdr12
both	Nbeal1
both	Cyp20a1
both	Abi2
both	Raph1
both	Ino80d
both	Ndufs1
both	Mdh1b
both	Klf7
both	Creb1
both	Mettl21a
both	2810408I11Rik
both	Fzd5
both	Idh1
both	Map2
both	Rpe
both	Kansl1l
both	Acadl
both	Lancl1
both	Ikzf2
both	Bard1
both	Abca12
both	Atic
both	Fn1
both	Gm8883
both	D230017M19Rik
both	Pecr
both	Xrcc5
both	Smarcal1
both	Rpl37a
both	Arpc2
both	Aamp
both	Pnkd
both	Catip
both	Ctdsp1
both	Usp37
both	Zfp142
both	Rnf25
both	Ttll4
both	Prkag3
both	Wnt6
both	Nhej1
both	Cnppd1
both	Zfand2b
both	Abcb6
both	Atg9a
both	Tuba4a
both	Dnajb2
both	Ptprn
both	Dnpep
both	Speg
both	Gmppa
both	Chpf
both	Obsl1
both	Stk11ip
both	Farsb
both	Acsl3
both	Mrpl44
both	Cul3
both	Irs1
both	Rhbdd1
both	Mff
both	Agfg1
both	Trip12
both	Cab39
both	Itm2c
both	Psmd1
both	Armc9
both	Ncl
both	Ptma
both	Pde6d
both	Dis3l2
both	Eif4e2
both	Gigyf2
both	Ngef
both	Gm33517
both	A730008H23Rik
both	Arl4c
both	Sh3bp4
both	Agap1
both	Cops8
both	Lrrfip1
both	Ube2f
both	Scly
both	Klhl30
both	Erfe
both	Hes6
both	Per2
both	Traf3ip1
both	Asb1
both	Hdac4
both	Ndufa10
both	Gpc1
both	Dusp28
both	Capn10
both	Crocc2
both	Sned1
both	Hdlbp
both	Farp2
both	Stk25
both	Bok
both	Dtymk
both	Ing5
both	D2hgdh
both	Fam174a
both	St8sia4
both	D1Ertd622e
both	Ppip5k2
both	B230216N24Rik
both	Pam
both	Pign
both	Tnfrsf11a
both	Gm7160
both	Gm20753
both	Kdsr
both	Vps4b
both	Serpinb8
both	Dsel
both	Tsn
both	Nifk
both	Clasp1
both	2900060B14Rik
both	Ralb
both	Tmem185b
both	Epb41l5
both	Ptpn4
both	Tmem177
both	Dbi
both	Steap3
both	Insig2
both	Ccdc93
both	Ddx18
both	Actr3
both	Slc35f5
both	Gpr39
both	Nckap5
both	Mgat5
both	2900009J06Rik
both	Rab3gap1
both	Zranb3
both	Ubxn4
both	Mcm6
both	Dars
both	Cxcr4
both	Pfkfb2
both	Mapkapk2
both	Dyrk3
both	Srgap2
both	Slc41a1
both	Rab29
both	Nucks1
both	Elk4
both	Cdk18
both	Tmcc2
both	Dstyk
both	6030442K20Rik
both	Mdm4
both	Pik3c2b
both	Ppp1r15b
both	Etnk2
both	Snrpe
both	Zbed6
both	Btg2
both	Ppfia4
both	Tmem183a
both	Cyb5r1
both	Adipor1
both	Klhl12
both	Rabif
both	Ppp1r12b
both	Ube2t
both	Rnpep
both	Timm17a
both	Shisa4
both	Ipo9
both	Csrp1
both	Pkp1
both	Tmem9
both	Ascl5
both	Gm15850
both	Ddx59
both	Kif14
both	Zfp281
both	Gm19705
both	Platr22
both	Nek7
both	Lhx9
both	2310009B15Rik
both	1700019P21Rik
both	Dennd1b
both	4933436E23Rik
both	Zbtb41
both	Aspm
both	Cdc73
both	Glrx2
both	Ro60
both	Rgs2
both	Pla2g4a
both	Ptgs2os
both	Ptgs2os2
both	Tpr
both	Hmcn1
both	Ivns1abp
both	Swt1
both	Rnf2
both	2810414N06Rik
both	1700025G04Rik
both	Tsen15
both	Rgl1
both	Smg7
both	Lamc1
both	Shcbp1l
both	Dhx9
both	Mir8114
both	Gm9530
both	Ier5
both	Stx6
both	BC034090
both	Xpr1
both	Acbd6
both	Qsox1
both	Cep350
both	Tor1aip1
both	Tor1aip2
both	Axdnd1
both	Soat1
both	Abl2
both	Tor3a
both	Fam20b
both	2810025M15Rik
both	Brinp2
both	Cop1
both	4930523C07Rik
both	Mrps14
both	Cacybp
both	Rabgap1l
both	Rc3h1
both	Zbtb37
both	Dars2
both	Klhl20
both	Prdx6
both	Suco
both	4930558K02Rik
both	Dnm3os
both	Eef1aknmt
both	Vamp4
both	Prrc2c
both	Gorab
both	Kifap3
both	Scyl3
both	BC055324
both	Slc19a2
both	Ccdc181
both	Blzf1
both	Atp1b1
both	Sft2d2
both	Tiprl
both	Dcaf6
both	Mpzl1
both	Creg1
both	Pou2f1
both	Tada1
both	Pogk
both	Uck2
both	Tmco1
both	Aldh9a1
both	Mgst3
both	Pbx1
both	Nuf2
both	Hsd17b7
both	Uap1
both	Sh2d1b1
both	Olfml2b
both	Dusp12
both	Fcrlb
both	Sdhc
both	Apoa2
both	Ndufs2
both	B4galt3
both	Ppox
both	Usp21
both	Ufc1
both	Dedd
both	Klhdc9
both	Usf1
both	Gm26641
both	Alyref2
both	Copa
both	Pex19
both	Dcaf8
both	Igsf8
both	Pigm
both	Igsf9
both	Tagln2
both	Dusp23
both	Ifi204
both	Ifi211
both	Ifi203
both	Ifi205
both	Olfr432
both	Fh1
both	Opn3
both	Exo1
both	Cep170
both	Zbtb18
both	Adss
both	Desi2
both	Cox20
both	Hnrnpu
both	Efcab2
both	Kif26b
both	Smyd3
both	Tfb2m
both	Sccpdh
both	Ahctf1
both	Coq8a
both	Psen2
both	Parp1
both	Acbd3
both	H3f3a
both	Sde2
both	Pycr2
both	Nvl
both	Wdr26
both	Lbr
both	Srp9
both	Gm33887
both	Degs1
both	Fbxo28
both	Trp53bp2
both	1700056E22Rik
both	Mtarc2
both	Rab3gap2
both	Iars2
both	Bpnt1
both	Eprs
both	Lyplal1
both	Rrp15
both	Cenpf
both	Ptpn14
both	Smyd2
both	Rps6kc1
both	Angel2
both	Vash2
both	A230020J21Rik
both	Tatdn3
both	Atf3
both	D730003I15Rik
both	Nenf
both	Pacc1
both	Ppp2r5a
both	Dtl
both	Lpgat1
both	Nek2
both	Slc30a1
both	Traf5
both	Gm10516
both	Syt14
both	Utp25
both	A130010J15Rik
both	Plxna2
both	Gm16897
both	Cd46
both	Cr1l
both	Ppp1r14c
both	Mthfd1l
both	Zbtb2
both	Armt1
both	Syne1
both	Fbxo5
both	Mtrf1l
both	Rgs17
both	Cnksr3
both	Lrp11
both	A630066F11Rik
both	Pcmt1
both	Katna1
both	Ginm1
both	Ppil4
both	Tab2
both	Ust
both	Sash1
both	Stxbp5
both	Rab32
both	Shprh
both	Fbxo30
both	Epm2a
both	Stx11
both	Sf3b5
both	Plagl1
both	Ltv1
both	Adat2
both	Hivep2
both	Vta1
both	Cited2
both	Txlnb
both	Heca
both	Abracl
both	Reps1
both	Ccdc28a
both	Hebp2
both	Perp
both	Tnfaip3
both	Gm20139
both	Ifngr1
both	Pex7
both	Map3k5
both	Bclaf1
both	Mtfr2
both	Pde7b
both	Ahi1
both	Hbs1l
both	Sgk1
both	E030030I06Rik
both	Tbpl1
both	Snord100
both	Stx7
both	Ccn2
both	Enpp1
both	Med23
both	Epb41l2
both	Ptprk
both	Soga3
both	Echdc1
both	Rnf146
both	Cenpw
both	Trmt11
both	Hint3
both	Ncoa7
both	Hey2
both	Hddc2
both	Tpd52l1
both	Rnf217
both	Rsph4a
both	Zup1
both	Rwdd1
both	Dse
both	Tspyl1
both	Tspyl4
both	Nt5dc1
both	Frk
both	Hs3st5
both	Hdac2
both	Fam229b
both	Fyn
both	Traf3ip2
both	Gm16364
both	E130307A14Rik
both	Mfsd4b4
both	Mfsd4b3-ps
both	Slc16a10
both	Rpf2
both	Gtf3c6
both	Amd2
both	Cdk19
both	Cdc40
both	Fig4
both	Zbtb24
both	Cd164
both	Cep57l1
both	Sesn1
both	Armc2
both	Foxo3
both	Afg1l
both	Snx3
both	Ostm1
both	Sec63
both	Pdss2
both	Mtres1
both	Cd24a
both	Qrsl1
both	Crybg1
both	Atg5
both	Prep
both	Hace1
both	Ascc3
both	Dcbld1
both	Gopc
both	Nus1
both	Slc35f1
both	Cep85l
both	Asf1a
both	Mcm9
both	Man1a
both	Tbc1d32
both	4930467K11Rik
both	Serinc1
both	Smpdl3a
both	Gcc2
both	Lims1
both	Ranbp2
both	Ccdc138
both	Sh3rf3
both	Septin10
both	P4ha1
both	Mcu
both	Micu1
both	Dnajb12
both	Ddit4
both	Ascc1
both	Psap
both	Slc29a3
both	Unc5b
both	Sgpl1
both	Tbata
both	Adamts14
both	Pald1
both	Eif4ebp2
both	Lrrc20
both	Ppa1
both	Sar1a
both	Tysnd1
both	Aifm2
both	Mir7662
both	Tspan15
both	Hk1
both	4930507D05Rik
both	Vps26a
both	Kifbp
both	Ddx21
both	Ddx50
both	Ccar1
both	Slc25a16
both	Dna2
both	Rufy2
both	Hnrnph3
both	Herc4
both	Sirt1
both	Dnajc12
both	Ctnna3
both	Lrrtm3
both	1110002J07Rik
both	Reep3
both	Jmjd1c
both	Nrbf2
both	Egr2
both	Zfp365
both	Rtkn2
both	Cdk1
both	Phyhipl
both	Tfam
both	Cisd1
both	Ipmk
both	Zwint
both	Gnaz
both	Rab36
both	Specc1l
both	Gucd1
both	Cabin1
both	Ddt
both	Gstt3
both	Mif
both	Smarcb1
both	Zfp280b
both	Prmt2
both	Dip2a
both	Pcnt
both	Mcm3ap
both	Lss
both	Col6a2
both	Pcbp3
both	Slc19a1
both	Gm10941
both	Fam207a
both	Itgb2
both	Pttg1ip
both	Sumo3
both	Ube2g2
both	Lrrc3
both	Cfap410
both	Pfkl
both	Icosl
both	Gatd3a
both	Pwp2
both	Trappc10
both	Mir6907
both	Rrp1
both	Cstb
both	Pdxk
both	Ilvbl
both	Syde1
both	2610008E11Rik
both	Mier2
both	C2cd4c
both	Tpgs1
both	Cdc34
both	Bsg
both	Polrmt
both	Rnf126
both	Palm
both	Ptbp1
both	Med16
both	Arid3a
both	Wdr18
both	Tmem259
both	Abca7
both	Polr2e
both	Gpx4
both	Sbno2
both	Stk11
both	Atp5d
both	Midn
both	Cirbp
both	Pwwp3a
both	Ndufs7
both	Gamt
both	Rps15
both	Pcsk4
both	Adamtsl5
both	Mex3d
both	Mbd3
both	Tcf3
both	Atp8b3
both	Klf16
both	Abhd17a
both	Adat3
both	Csnk1g2
both	Btbd2
both	Mknk2
both	Mob3a
both	Ap3d1
both	Dot1l
both	Oaz1
both	Timm13
both	Gadd45b
both	Gng7
both	Slc39a3
both	Sgta
both	Thop1
both	Mir5615-2
both	Zbtb7a
both	Pias4
both	Eef2
both	Dapk3
both	Zfr2
both	Mrpl54
both	Tjp3
both	Cactin
both	Hmg20b
both	Fzr1
both	Dohh
both	Mir1191b
both	Ncln
both	Gna11
both	Tle6
both	BC025920
both	Sirt6
both	Ankrd24
both	Gm10778
both	Zfp873
both	BC024063
both	AU041133
both	Zfp938
both	1190007I07Rik
both	Tdg
both	Glt8d2
both	Hcfc2
both	Nfyb
both	Gm38560
both	D10Wsu102e
both	Aldh1l2
both	Washc4
both	Appl2
both	Nuak1
both	Ckap4
both	Tcp11l2
both	Polr3b
both	Ric8b
both	Fhl4
both	Mterf2
both	Cry1
both	Btbd11
both	Pwp1
both	Prdm4
both	Rtcb
both	Fbxo7
both	Timp3
both	1810014B01Rik
both	Hsp90b1
both	Nt5dc3
both	Parpbp
both	Washc3
both	Dram1
both	Gnptab
both	Chpt1
both	Gm4925
both	Utp20
both	Gas2l3
both	Scyl2
both	Actr6
both	Uhrf1bp1l
both	Apaf1
both	Slc25a3
both	Tmpo
both	Nedd1
both	Cdk17
both	Mir7688
both	Lta4h
both	Amdhd1
both	Vezt
both	Nr2c1
both	Ndufa12
both	Tmcc3
both	Cep83os
both	Cradd
both	Socs2
both	Mrpl42
both	Ube2n
both	Nudt4
both	Eea1
both	Btg1
both	Atp2b1
both	Poc1b
both	Dusp6
both	Kitl
both	Tmtc3
both	4930430F08Rik
both	Slc6a15
both	Tmtc2
both	Mettl25
both	Ppp1r12a
both	Pawr
both	Syt1
both	E2f7
both	Csrp2
both	Osbpl8
both	Bbs10
both	Nap1l1
both	Phlda1
both	Krr1
both	Glipr1l1
both	Glipr1l3
both	Atxn7l3b
both	Tbc1d15
both	Rab21
both	Tmem19
both	Thap2
both	Ptprr
both	Rab3ip
both	Cct2
both	Frs2
both	Yeats4
both	Cpsf6
both	Cpm
both	Mdm2
both	Slc35e3
both	Nup107
both	Rap1b
both	Mdm1
both	Dyrk2
both	Cand1
both	Helb
both	Tmbim4
both	Llph
both	Hmga2
both	Msrb3
both	Wif1
both	Gns
both	Rassf3
both	Tbk1
both	Xpot
both	BC048403
both	Rxylt1
both	Ppm1h
both	Mirlet7i
both	Mon2
both	Usp15
both	Lrig3
both	Ctdsp2
both	Eef1akmt3
both	Cdk4
both	Tspan31
both	Os9
both	B4galnt1
both	Arhgef25
both	Pip4k2c
both	Dctn2
both	Mbd6
both	Mars1
both	Inhbe
both	R3hdm2
both	Lrp1
both	Stat6
both	Nab2
both	Nemp1
both	Naca
both	Ptges3
both	Atp5b
both	Rbms2
both	Gls2
both	Spryd4
both	Timeless
both	Apof
both	Pan2
both	Cnpy2
both	Cs
both	Coq10a
both	Nabp2
both	Mir8105
both	Myl6
both	Myl6b
both	Esyt1
both	Zc3h10
both	Pa2g4
both	Erbb3
both	Rps26
both	Suox
both	Rab5b
both	Cdk2
both	Pym1
both	Tmem198b
both	Ormdl2
both	Cd63
both	Bloc1s1
both	Itga7
both	Pisd-ps1
both	Sfi1
both	Drg1
both	Patz1
both	Pik3ip1
both	Limk2
both	8430429K09Rik
both	Selenom
both	Smtn
both	Tug1
both	4921536K21Rik
both	Slc35e4
both	Pes1
both	Mtfp1
both	Rnf215
both	Tbc1d10a
both	Castor1
both	Mtmr3
both	Ascc2
both	Uqcr10
both	Nf2
both	Nipsnap1
both	Thoc5
both	Ap1b1
both	Gas2l1
both	Ewsr1
both	Kremen1
both	Znrf3
both	Xbp1
both	Ccdc117
both	Mrps24
both	Ube2d-ps
both	Dbnl
both	Polm
both	Aebp1
both	Pold2
both	Ykt6
both	Nudcd3
both	Ddx56
both	Tmed4
both	Ogdh
both	Ppia
both	H2az2
both	Purb
both	Snhg15
both	Ccm2
both	Tbrg4
both	Tns3
both	Hus1
both	Gm11992
both	Fignl1
both	Sec61g
both	Egfr
both	Eldr
both	Ppp3r1
both	Pno1
both	C1d
both	Etaa1
both	Spred2
both	Actr2
both	Rab1a
both	Cep68
both	Slc1a4
both	Sertad2
both	Aftph
both	Lgalsl
both	Peli1
both	Ugp2
both	Mdh1
both	Otx1
both	Ehbp1
both	Tmem17
both	B3gnt2
both	Commd1
both	Cct4
both	Fam161a
both	Xpo1
both	Usp34
both	Ahsa2
both	0610010F05Rik
both	Pus10
both	Rel
both	Papolg
both	Fancl
both	Vrk2
both	Ccdc85a
both	Pnpt1
both	Ppp4r3b
both	Cfap36
both	Ccdc88a
both	Mtif2
both	Clhc1
both	Rtn4
both	Eml6
both	Sptbn1
both	4930505A04Rik
both	Acyp2
both	Psme4
both	Erlec1
both	Chac2
both	Stc2
both	Bod1
both	D630024D03Rik
both	Cpeb4
both	Snrnp25
both	Mpg
both	Nprl3
both	Ubtd2
both	Stk10
both	Fbxw11
both	Fgf18
both	Npm1
both	Ranbp17
both	Spdl1
both	Pank3
both	Rars
both	Mat2b
both	Hmmr
both	Ccng1
both	Pttg1
both	Slu7
both	Pwwp2a
both	Ttc1
both	Adra1b
both	Ublcp1
both	Rnf145
both	Ebf1
both	Clint1
both	Lsm11
both	Thg1l
both	Med7
both	Sgcd
both	Rack1
both	Trim41
both	Zfp62
both	Mgat1
both	Cnot6
both	Mapk9
both	Tbc1d9b
both	Mrnip
both	Sqstm1
both	Mgat4b
both	Ltc4s
both	Maml1
both	Canx
both	Hnrnph1
both	Adamts2
both	Zfp354c
both	BC049762
both	Phykpl
both	Hnrnpab
both	Nhp2
both	Rmnd5b
both	0610009B22Rik
both	Sec24a
both	Sar1b
both	Cdkn2aipnl
both	Ube2b
both	Cdkl3
both	Ppp2ca
both	Skp1a
both	Tcf7
both	Vdac1
both	9530068E07Rik
both	Hspa4
both	Aff4
both	Uqcrq
both	Shroom1
both	Kif3a
both	Mir7671
both	Irf1
both	Gm12216
both	Slc22a5
both	Slc22a21
both	Slc22a4
both	P4ha2
both	4933405E24Rik
both	Meikin
both	Fnip1
both	Rapgef6
both	Cdc42se2
both	Lyrm7
both	Hint1
both	Anxa6
both	Ccdc69
both	Gm2a
both	Slc36a1
both	Sparc
both	Atox1
both	G3bp1
both	Fam114a2
both	Galnt10
both	2010001A14Rik
both	Larp1
both	Cnot8
both	Mrpl22
both	Zfp692
both	Zfp672
both	Gm12258
both	2810021J22Rik
both	Zfp39
both	Rnf187
both	H2bu1-ps
both	H3f4
both	Iba57
both	Guk1
both	2610507I01Rik
both	2310033P09Rik
both	Arf1
both	Snap47
both	4933439C10Rik
both	Mprip
both	Flcn
both	Cops3
both	Nt5m
both	Med9os
both	Rasd1
both	Pemt
both	4930412M03Rik
both	Srebf1
both	Tom1l2
both	Atpaf2
both	Drg2
both	Alkbh5
both	Llgl1
both	Flii
both	Top3a
both	Shmt1
both	Dhrs7b
both	Tmem11
both	Map2k3os
both	Usp22
both	Aldh3a2
both	Mapk7
both	B9d1
both	Epn2
both	Prpsap2
both	Ulk2
both	Akap10
both	Specc1
both	Zswim7
both	Ncor1
both	Cenpv
both	Ubb
both	Trpv2
both	2410006H16Rik
both	Lrrc75a
both	Zfp286
both	Trim16
both	Tvp23b
both	Pmp22
both	Hs3st3b1
both	Cox10
both	Hs3st3a1
both	Elac2
both	Map2k4
both	Zkscan6
both	Tmem220
both	Adprm
both	Myh10
both	Ndel1
both	Rpl26
both	Slc25a35
both	Rangrf
both	Pfas
both	Ctc1
both	Aurkb
both	Borcs6
both	Tmem107
both	Snord118
both	Vamp2
both	Per1
both	Aloxe3
both	Cntrob
both	Cyb5d1
both	Kdm6b
both	Wrap53
both	Fxr2
both	Mpdu1
both	Eif4a1
both	Senp3
both	Tnfsf12
both	Polr2a
