track,MEF bulk,cluster0,cluster1,mESC bulk
MEF bulk,1,0.650792041359254,0.120509014500274,-0.107279481888165
cluster0,0.650792041359254,1,0.121381901403808,-0.0631024788274373
cluster1,0.120509014500274,0.121381901403808,1,0.552296507718058
mESC bulk,-0.107279481888165,-0.0631024788274373,0.552296507718058,1
