track,MEF bulk,cluster0,cluster1,mESC bulk
MEF bulk,1,0.740591476739284,-0.0497952170072549,-0.110602721161014
cluster0,0.740591476739284,1,-0.0498200097934884,-0.108052203635186
cluster1,-0.0497952170072549,-0.0498200097934884,1,0.731139538913865
mESC bulk,-0.110602721161014,-0.108052203635186,0.731139538913865,1
