class,n,pct
dELS,315,0.317220543806647
CA-CTCF,248,0.249748237663646
CA-only,120,0.120845921450151
No cCRE,107,0.107754279959718
PLS,92,0.0926485397784491
pELS,73,0.0735146022155086
CA-H3K4me3,28,0.0281973816717019
TF-only,6,0.00604229607250755
CA-TF,4,0.0040281973816717
