gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Exoc3l4,0.706202131110101,0.195768593152806,0.025,0.021,1
Lrch4,0.706363351992078,0.0656915657916857,0.025,0.033,1
Kif23,0.706379201873773,-0.128421530561707,0.082,0.065,1
Zkscan2,0.706382062578595,0.788797280625357,0.044,0.031,1
A130051J06Rik,0.706501586126169,0.601049668872805,0.013,0.011,1
Cdkn2aipnl,0.706588747462891,0.601879235357876,0.019,0.013,1
Vps26a,0.706680181876434,0.348103137502949,0.088,0.053,1
Msl1,0.706724751454294,0.244347674082907,0.006,0.012,1
Crb3,0.706927491051263,0.904677919437032,0.031,0.017,1
Mical1,0.706949169058966,0.203751126098921,0.019,0.018,1
Emr1,0.707042806134567,-0.30016125154263,0.082,0.084,1
AU021092,0.70712217854369,0.128187107742496,0.013,0.013,1
Pcdh8,0.707124015093162,0.79593251213962,0.025,0.011,1
P2ry12,0.707137557293078,0.129365400926853,0.157,0.095,1
Fcgr4,0.707161708515892,0.027994567861831,0.013,0.012,1
Trrap,0.707179385440241,-0.0418025445651589,0.151,0.099,1
C1qtnf6,0.707211760403202,0.894625579064405,0.031,0.016,1
Lipt1,0.707247908529418,1.15768168900247,0.013,0.008,1
Acad12,0.707384887174627,0.218829306852295,0.05,0.038,1
Spo11,0.707411916939194,0.6410288195114,0.025,0.013,1
Abce1,0.707466995217697,-0.0687440909241186,0.038,0.039,1
Kxd1,0.707535266774285,0.283458699248821,0.038,0.026,1
Creg2,0.707556042098072,0.369946976636518,0.05,0.04,1
Ubtd2,0.707645571911072,0.37668901731908,0.088,0.051,1
Cd3d,0.707664938228259,0.968148695607051,0.013,0.005,1
Gsto2,0.707725053052923,0.0214725047867264,0.069,0.065,1
Akr1d1,0.707755718238257,0.270768056070043,0.063,0.042,1
Pcdha7,0.707784159783963,-0.244430525931463,0.182,0.152,1
Cst12,0.707863057237866,0.63268445556036,0.019,0.009,1
Usp39,0.707888252921887,0.408657418010058,0.044,0.034,1
Nemf,0.707901368685539,0.499914966075179,0.05,0.029,1
Ing5,0.707924901074088,-0.229610965427582,0.075,0.051,1
Olfr71,0.707968106102683,0.748341212890703,0.013,0.007,1
Larp1,0.708091929284619,0.27248144581303,0.044,0.025,1
Zbtb41,0.708099972201137,0.214223171066419,0.088,0.06,1
Gosr1,0.708110739454235,0.394433709249726,0.057,0.036,1
Ints3,0.708131447362311,-0.0321139326405815,0.05,0.049,1
Prrt4,0.708186902363544,0.514307210804462,0.019,0.016,1
Adgb,0.708191463222421,-0.179404867171107,0.252,0.195,1
Dctn5,0.708192209566478,0.235280465753604,0.038,0.037,1
Ano9,0.708317277346846,0.96741282294477,0.019,0.008,1
Bcl2l12,0.708375470949633,0.995067991172861,0.013,0.012,1
St8sia2,0.708403895251215,-0.136096646996516,0.107,0.092,1
Apex1,0.708511565130416,0.849709456283925,0.025,0.013,1
P2rx3,0.708596345926463,-0.185574868784262,0.088,0.067,1
Slc38a8,0.708713535040306,0.168286961201805,0.025,0.024,1
Cd24a,0.708715972627783,1.0518216701977,0.013,0.008,1
Orm3,0.708764195683084,1.40429676408605,0.019,0.007,1
Ppp2r1b,0.708769213627514,-0.0209019410112621,0.057,0.05,1
Pkp2,0.708877073208372,-0.104917511707258,0.107,0.079,1
B4galnt4,0.709023286715679,0.359355247501935,0.019,0.014,1
Gm8787,0.709119501206211,0.581744968000363,0.025,0.024,1
B430305J03Rik,0.709224882465886,-0.102981178335781,0.038,0.031,1
Sharpin,0.70923940760643,0.675775643451218,0.019,0.013,1
Bean1,0.709390527119871,0.345970790029975,0.094,0.058,1
Gm10610,0.709445397973905,0.762441770861215,0.031,0.016,1
Adamdec1,0.709490148988908,0.0974478553713034,0.044,0.031,1
Lamc2,0.70952005139516,0.271508884240284,0.075,0.041,1
Ubb,0.709682316278774,0.513402586373497,0.019,0.012,1
Trim44,0.709693791904932,-0.0618991436552498,0.044,0.041,1
Defb46,0.709734309953003,1.43270634379894,0.013,0.005,1
Ppap2b,0.709921835907819,0.378295095991477,0.031,0.024,1
Trim6,0.709977309039541,0.601956319771296,0.044,0.026,1
Cntrob,0.710002107321344,0.157797110519357,0.05,0.046,1
Mrps23,0.71000371509956,0.671071807092574,0.019,0.015,1
Dmrt3,0.710015194492295,0.723970984684405,0.006,0.012,1
Strc,0.710038620670097,0.0455690189970159,0.019,0.02,1
Pkd1l1,0.710053824364029,-0.00331344420308222,0.195,0.161,1
Batf,0.710061465438251,0.524744056116597,0.038,0.021,1
Cst9,0.710067852384279,0.845472920118071,0.013,0.008,1
Trip11,0.710175983449525,-0.159124740911772,0.088,0.07,1
4930503B20Rik,0.710198562104131,1.28525723502579,0.013,0.007,1
