gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Osgep,1.06111754640945e-13,0.172132403773186,0.294,0.492,3.2951944286199e-09
Zfp984,1.06519922399361e-13,-1.07559168780199,0.004,0.031,3.30786967018975e-09
Tmem35b,1.07481386335115e-13,-1.00360142487265,0.017,0.056,3.33772697125067e-09
Gm38562,1.09165251470198e-13,3.18978601921548,0.029,0.004,3.39001771915553e-09
Marf1,1.11899657725154e-13,0.108603614799466,0.297,0.488,3.47493197099692e-09
Dph7,1.13637140364006e-13,0.154561675963462,0.074,0.146,3.52888775686385e-09
Klhl21,1.14197848718829e-13,-0.332938239430229,0.035,0.086,3.54629999411452e-09
Aldh7a1,1.17137571579192e-13,0.779861500359781,0.423,0.411,3.63759014782022e-09
Sctr,1.17519410765743e-13,2.8817408620394,0.03,0.004,3.64944778191937e-09
Ciz1,1.17535922410328e-13,0.129468957736271,0.114,0.204,3.64996053453034e-09
Prdm11,1.17873059833803e-13,-0.786578915974876,0.027,0.072,3.66043000007892e-09
P2rx1,1.201504186879e-13,-5.53517622159107,0.001,0.023,3.73115110193405e-09
Tslp,1.22934999760621e-13,-2.64591281720881,0.008,0.039,3.81762348256631e-09
Sp110,1.23598668864273e-13,-6.18006976624389,0,0.021,3.83823306291115e-09
Ptov1,1.24429813972896e-13,-0.171103048009096,0.585,0.787,3.8640434431143e-09
Morc2a,1.27330968391218e-13,0.209142374487542,0.087,0.166,3.95413589242087e-09
Tmed4,1.3072482166182e-13,-0.0198451908784163,0.376,0.614,4.05952861188615e-09
Ubn2,1.31581114642993e-13,0.53215384450497,0.608,0.711,4.0861199341235e-09
2510046G10Rik,1.3165223450207e-13,-0.423859368521336,0.024,0.067,4.08832849022727e-09
Itpkc,1.32170866246232e-13,-0.632667274456468,0.017,0.056,4.10443408041049e-09
Mbnl1,1.32411005481232e-13,-0.0813751681880068,0.385,0.61,4.11189136421417e-09
Ift80,1.33354039440736e-13,0.165672130537093,0.102,0.187,4.14117634079263e-09
