p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.2882663877273332e-94	0.5553875141460805	0.931	0.776	4.00058244044846e-90	OEC	Cd9
1.3632051881967495e-93	1.0916464122807028	0.926	0.869	4.233297391426186e-89	OEC	Selenof
2.2703721190346885e-93	-0.7873621860665612	0.987	0.996	7.050413578450322e-89	OEC	Cd81
8.64453254445392e-93	-1.2072602567557138	0.967	0.963	2.68447313635472e-88	OEC	Ckb
1.9000486340278787e-92	1.5616856206922405	0.571	0.196	5.900411028110174e-88	OEC	Clic1
3.3917325562534424e-92	-1.237506354705915	0.546	0.875	1.053268628018944e-87	OEC	Ank2
1.3033018575481497e-91	0.9227697320272017	0.972	0.938	4.047273588430024e-87	OEC	Prdx1
1.780044833501217e-89	2.0826300626202956	0.673	0.402	5.527751225954679e-85	OEC	Ahcyl2
1.9454801068729713e-89	0.31385767881144444	0.945	0.934	6.041493923883325e-85	OEC	Bsg
2.6183104485240517e-89	1.7331861652276421	0.816	0.691	8.13090126684659e-85	OEC	Fam213a
4.617474094210386e-87	-1.3947860263358733	0.363	0.77	1.4339104052160934e-82	OEC	4930402H24Rik
7.551853273114292e-87	1.9622656558659166	0.591	0.267	2.3451525154329122e-82	OEC	Brinp3
2.211460358964273e-85	2.037648443955035	0.821	0.753	6.867468998727653e-81	OEC	Sash1
2.4660428674508518e-85	-1.5132702473041002	0.686	0.881	7.658049520581875e-81	OEC	Acsl3
1.7352059473835554e-84	1.5232339816754044	0.564	0.223	5.3885085490048934e-80	OEC	Vstm4
1.016950465353844e-83	-2.038271542661947	0.226	0.662	3.158037975109827e-79	OEC	Slc6a9
9.020082830618576e-82	-1.5938387775265963	0.338	0.75	2.8010965222202928e-77	OEC	Sox2
1.2255846779021448e-80	-2.2299735967947787	0.223	0.612	3.8059306587573207e-76	OEC	Timp4
1.4778452101329813e-80	0.5920757782231711	0.877	0.448	4.58930051554696e-76	OEC	Gsn
3.669237211336758e-80	0.562288468521921	0.506	0.156	1.1394449236085168e-75	OEC	Nid1
1.4426513179780242e-79	-1.0275031425270336	0.811	0.937	4.480009402848956e-75	OEC	Dynll1
3.49384632671703e-79	-1.2118688188726896	0.453	0.806	1.0849790382987066e-74	OEC	Myo6
4.605123406739783e-78	1.5573778679646917	0.731	0.511	1.4300750227289723e-73	OEC	Fuca1
4.985136050136655e-78	1.8061132846175463	0.569	0.247	1.548084149009437e-73	OEC	Notch2
1.253461888357815e-76	1.3672535027124346	0.794	0.59	3.892500548106359e-72	OEC	Fam171b
3.995377743915957e-76	-1.4793114803359366	0.369	0.759	1.2407246045956613e-71	OEC	Dtna
4.9579650693848636e-76	1.7566224022001236	0.695	0.453	1.5396464726467756e-71	OEC	Mxi1
6.719331305976392e-76	1.142506851399828	0.86	0.697	2.0866211437579086e-71	OEC	Phgdh
1.7505258810882778e-75	1.7515609653975202	0.678	0.418	5.436083071131538e-71	OEC	Tmx4
2.5139652387371162e-75	1.0163482380956466	0.961	0.947	7.80686765237424e-71	OEC	Dbi
9.320848993724836e-75	-1.6487268842519396	0.201	0.622	2.8944964465113105e-70	OEC	Phactr3
8.102134433216704e-73	0.7422946792531859	0.954	0.906	2.5160368268911154e-68	OEC	Rpl41
1.5666622026724094e-72	1.6873362765205662	0.503	0.198	4.865112804178901e-68	OEC	Dock7
1.6345061190573483e-72	-1.609839871721001	0.418	0.771	5.07579530212069e-68	OEC	Glud1
1.6892069918422637e-72	-2.0189831101135094	0.253	0.655	5.245663392466965e-68	OEC	Itih3
9.771272923982938e-72	-1.6388010399724102	0.476	0.795	3.034371093813662e-67	OEC	Agpat5
1.2353952300318376e-71	1.4191843629703969	0.777	0.622	3.836396347340868e-67	OEC	Txn1
1.4268957657925094e-71	0.9245512075830615	0.877	0.799	4.4310821110920586e-67	OEC	Cmtm5
2.13716227210063e-71	-1.2557427449615555	0.409	0.766	6.636743719781297e-67	OEC	Csrp1
2.447630114446385e-71	1.6632006592481947	0.503	0.195	7.600870557401803e-67	OEC	Rnd3
4.0734163654702995e-71	-1.702752085556384	0.294	0.669	1.264958718133147e-66	OEC	Rgma
7.1623664788172196e-71	1.828511433494161	0.539	0.244	2.2242012863318995e-66	OEC	Erbb3
9.114603379588878e-71	1.2923478237096542	0.75	0.444	2.83044893349753e-66	OEC	Hes5
1.4115647178825823e-70	-1.3655821982668233	0.605	0.879	4.3834730749125714e-66	OEC	Macf1
5.478323954535222e-70	-2.0012622619306786	0.289	0.619	1.7012387208413677e-65	OEC	S1pr1
1.6544220836810828e-69	-2.1961451782119217	0.233	0.582	5.1376423386632345e-65	OEC	Ramp1
2.792871776750342e-69	-2.0860164956449108	0.368	0.652	8.672984015520513e-65	OEC	Ntsr2
3.2412879100792597e-69	-2.023779675827428	0.403	0.711	1.0065495475960133e-64	OEC	Mfge8
4.944022525215773e-69	1.6150913891642427	0.758	0.64	1.535316754980506e-64	OEC	Cnn3
1.3761478852890203e-68	-1.3814769136573188	0.355	0.732	4.2734896429765235e-64	OEC	Gria2
1.6316005532800921e-68	1.2399554220265396	0.56	0.238	5.066772358155998e-64	OEC	Gpx8
1.6906734183268288e-68	0.8833681324859093	0.915	0.832	5.2502172332721345e-64	OEC	Arl6ip1
7.48364650593655e-68	-1.5211144351136108	0.203	0.611	2.323971585953536e-63	OEC	Pou3f3
2.3235669982195476e-67	-2.06298523634376	0.376	0.67	7.215604956270982e-63	OEC	Mt2
3.657901731471621e-67	-1.544854725774249	0.253	0.65	1.1359248036911973e-62	OEC	Syne1
1.774698850682057e-66	0.6474427220162657	0.525	0.189	5.51114981090806e-62	OEC	Ifitm2
2.2394068224573104e-66	1.1486360454057658	0.701	0.327	6.954253946458931e-62	OEC	Sox10
8.546909832967106e-66	-1.8958803912109867	0.432	0.733	2.6541573795296052e-61	OEC	Clu
1.3506036610634141e-65	-2.069414259343904	0.349	0.627	4.194164609066326e-61	OEC	Cldn10
2.569042351466809e-65	1.163313484363064	0.737	0.401	7.977904118245029e-61	OEC	Retreg1
4.19496147052121e-65	1.8413346056859217	0.64	0.395	1.3027033350556567e-60	OEC	Scd1
9.897732370354626e-65	-1.3112000223313602	0.299	0.675	3.073641810289925e-60	OEC	Tmem229a
1.1569601513674678e-64	1.4485155851996625	0.626	0.309	3.5928240540565343e-60	OEC	Gas7
1.5296904059809312e-64	1.1761034678506408	0.816	0.714	4.7503005867331837e-60	OEC	Eif1b
2.0157248064571272e-64	-1.9179490131217076	0.237	0.579	6.259631813971963e-60	OEC	Fgfr3
3.491827887451757e-64	-2.042850022747593	0.253	0.592	1.0843522321692686e-59	OEC	Btbd17
1.1468436042012605e-63	-0.6715086007691555	0.876	0.96	3.561408128486594e-59	OEC	Gapdh
1.223679159322479e-63	-1.7646543265533188	0.22	0.591	3.8000132613600266e-59	OEC	Dock4
1.480535691813784e-63	-2.1331389479032428	0.223	0.555	4.597655537358525e-59	OEC	Slc39a12
2.2120802914533743e-63	-1.7687025939803767	0.385	0.664	6.869394137079309e-59	OEC	Tril
8.959590349092947e-63	1.390460025029044	0.77	0.606	2.782311187007324e-58	OEC	Tspan15
2.2758673141985056e-62	-1.9516585285565464	0.336	0.614	7.067478357512039e-58	OEC	Ntm
4.651920894635961e-62	-2.084035487911404	0.332	0.625	1.4446075146202513e-57	OEC	Aqp4
5.929480943708289e-62	1.0440811365184446	0.83	0.721	1.841341012259172e-57	OEC	Slc22a17
1.2519777294805201e-61	-1.6321975528447867	0.379	0.665	3.887891641128807e-57	OEC	Nrxn1
1.9245147256825517e-61	-2.1570787274371037	0.338	0.635	5.976388029134596e-57	OEC	Slc6a11
2.545177500640225e-61	-1.9426970709027511	0.22	0.581	7.903794210488155e-57	OEC	Fry
2.6709077357537676e-61	1.1968873694003839	0.719	0.46	8.29423688260975e-57	OEC	Mdk
1.0642717041447358e-60	-1.437395316612545	0.215	0.587	3.3049893500510625e-56	OEC	Arap2
5.144019943762451e-60	1.5464892484047477	0.662	0.424	1.5974239533359916e-55	OEC	Hs2st1
1.1041231164520933e-59	-0.928528083166793	0.657	0.897	3.4287439258303306e-55	OEC	Slc25a5
2.031068960192641e-59	1.1800963890200116	0.607	0.293	6.307281548982228e-55	OEC	Asph
