original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
1,21.1161359446527,2.8711902891161,21.1161359446527,15138,8119,28640,28640,28640,28640,28640,28640,TRUE,TRUE
2,10.7077499270439,0,10.7077499270439,15139,18930,28640,28640,28640,28640,28640,28640,TRUE,TRUE
3,14.53589874506,6.23675489425659,14.53589874506,11584,14250,28640,28640,28640,28640,28640,28640,TRUE,TRUE
4,32.7198805379086,102.920029326215,32.7198805379086,19346,3002,28640,28640,28640,28640,28640,28640,TRUE,TRUE
5,12.8888688121402,5.34489404264294,12.8888688121402,25041,16200,28640,28640,28640,28640,28640,28640,TRUE,TRUE
6,14.2156697459388,17.9198060746779,14.2156697459388,24123,14639,28640,28640,28640,28640,28640,28640,TRUE,TRUE
7,14.5359076619148,9.63517066001892,14.5359076619148,172,14247,28640,28640,28640,28640,28640,28640,TRUE,TRUE
8,2.0805224776268,30.547399520874,2.0805224776268,24228,27468,28640,28640,28640,28640,28640,28640,TRUE,TRUE
9,18.379504167944,31.5044136907821,18.379504167944,25045,10398,28640,28640,28640,28640,28640,28640,TRUE,TRUE
10,21.1488578070456,7.48487535875235,21.1488578070456,434,8091,28640,28640,28640,28640,28640,28640,TRUE,TRUE
11,10.957417756319,8.22781075750079,10.957417756319,10915,18611,28640,28640,28640,28640,28640,28640,TRUE,TRUE
12,20.2669678303733,3.13452793591058,20.2669678303733,27490,8722,28640,28640,28640,28640,28640,28640,TRUE,TRUE
13,22.5767476660977,4.70477385882891,22.5767476660977,11732,7142,28640,28640,28640,28640,28640,28640,TRUE,TRUE
14,15.5933996764096,20.586710888328,15.5933996764096,9401,13080,28640,28640,28640,28640,28640,28640,TRUE,TRUE
15,5.37051632642746,0,5.37051632642746,10149,25250,28640,28640,28640,28640,28640,28640,TRUE,TRUE
16,6.26137862156849,9.28630663424122,6.26137862156849,25040,24318,28640,28640,28640,28640,28640,28640,TRUE,TRUE
17,19.1314822043348,74.1645849087094,19.1314822043348,3418,9718,28640,28640,28640,28640,28640,28640,TRUE,TRUE
18,27.5500586645944,13.6554136787142,27.5500586645944,961,4612,28640,28640,28640,28640,28640,28640,TRUE,TRUE
19,33.7257876579578,22.7881631025901,33.7257876579578,4848,2758,28640,28640,28640,28640,28640,28640,TRUE,TRUE
20,21.4449336212509,11.4292991404631,21.4449336212509,10192,7868,28640,28640,28640,28640,28640,28640,TRUE,TRUE
21,4.26090716362,0,4.26090716362,21359,26201,28640,28640,28640,28640,28640,28640,TRUE,TRUE
22,15.4624499930371,2.79375448123643,15.4624499930371,4038,13259,28640,28640,28640,28640,28640,28640,TRUE,TRUE
23,10.7790827978225,26.1834819430397,10.7790827978225,6243,18834,28640,28640,28640,28640,28640,28640,TRUE,TRUE
24,80.7998732364539,96.1934794801654,80.7998732364539,25355,142,28640,28640,28640,28640,28640,28640,TRUE,TRUE
25,22.9502344396379,43.1603103606299,22.9502344396379,11671,6892,28640,28640,28640,28640,28640,28640,TRUE,TRUE
26,51.026272051675,61.1675840377808,51.026272051675,565,803,28640,28640,28640,28640,28640,28640,TRUE,TRUE
27,17.100388847577,0,17.100388847577,8191,11585,28640,28640,28640,28640,28640,28640,TRUE,TRUE
28,4.02233986735344,0,4.02233986735344,23621,26374,28640,28640,28640,28640,28640,28640,TRUE,TRUE
29,11.2474253195705,5.30337302973776,11.2474253195705,27420,18220,28640,28640,28640,28640,28640,28640,TRUE,TRUE
30,11.3694928037948,6.01357180830361,11.3694928037948,1727,18069,28640,28640,28640,28640,28640,28640,TRUE,TRUE
31,44.968441210295,46.2230883146587,44.968441210295,20150,1191,28640,28640,28640,28640,28640,28640,TRUE,TRUE
32,21.0274831537875,0.790563651493618,21.0274831537875,27829,8202,28640,28640,28640,28640,28640,28640,TRUE,TRUE
33,4.49924306673546,3.34766022146565,4.49924306673546,2031,25959,28640,28640,28640,28640,28640,28640,TRUE,TRUE
34,27.8721103101674,20.8690267978328,27.8721103101674,4620,4499,28640,28640,28640,28640,28640,28640,TRUE,TRUE
35,46.5260021972656,25.9907649993897,46.5260021972656,13111,1078,28640,28640,28640,28640,28640,28640,TRUE,TRUE
36,0,0,0,18086,28168,28640,28640,28640,28640,28640,28640,TRUE,TRUE
37,6.33646405370612,3.08153679496364,6.33646405370612,27251,24242,28640,28640,28640,28640,28640,28640,TRUE,TRUE
38,7.98649675070696,0.030949725930814,7.98649675070696,14280,22386,28640,28640,28640,28640,28640,28640,TRUE,TRUE
39,8.13898978292942,13.7463297843933,8.13898978292942,22982,22212,28640,28640,28640,28640,28640,28640,TRUE,TRUE
