original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
3716,1.37877475684232,19.1173403428333,19.1173403428333,5626,7172,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3717,25.9742790007256,42.8452384975595,42.8452384975595,2088,2504,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3718,31.5684492111206,39.9025522828102,39.9025522828102,8365,2898,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3719,0.726290156624534,6.47975990988992,6.47975990988992,200,10942,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3720,27.7044656815067,49.6805921985257,49.6805921985257,8319,1863,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3721,43.1316731360651,60.0273059721916,60.0273059721916,3956,1198,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3722,2.7123829977853,21.3347079261901,21.3347079261901,9805,6553,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3723,3.12708538228815,0,0,8422,12352,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3724,7.96700583934784,19.9067273855209,19.9067273855209,8366,6967,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3725,1.62003059387207,12.0153233766556,12.0153233766556,7897,9356,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3726,5.27836097611321,77.6943402985732,77.6943402985732,4848,585,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3727,0.332882988452911,16.4956012964249,16.4956012964249,875,7945,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3728,2.95123188388881,19.3314962073938,19.3314962073938,10527,7135,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3729,0,19.72853038311,19.72853038311,288,7026,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3730,1.97800254303476,10.1824892085531,10.1824892085531,3460,9924,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3731,3.78392952378444,16.892585227017,16.892585227017,5785,7828,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3732,13.9839256604513,17.4603135769184,17.4603135769184,5724,7665,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3733,4.48224511664165,47.3032918886135,47.3032918886135,4849,2062,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3734,9.87553789615631,32.5839203834534,32.5839203834534,10452,4000,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3735,3.16395218592571,12.1658034688498,12.1658034688498,4026,9310,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3736,14.3016890419854,110.027400546604,110.027400546604,8851,227,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3737,17.6551440768772,24.2682294209798,24.2682294209798,10761,5793,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3738,0.05400756449826,74.5662829306273,74.5662829306273,7139,662,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3739,0,11.5932793215097,11.5932793215097,12564,9470,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3740,4.31763948932771,15.4379353715527,15.4379353715527,3800,8253,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3741,2.21921992301941,3.63660710198539,3.63660710198539,8071,11591,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3742,35.4910043744899,29.1796136614102,29.1796136614102,6250,4638,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3743,3.28005968738388,6.43397476908925,6.43397476908925,11836,10950,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3744,0.337707391683606,7.19414854740751,7.19414854740751,8007,10772,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3745,1.78121699157514,24.4289930243241,24.4289930243241,2016,5748,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3746,6.375499568854,32.2357352165012,32.2357352165012,4711,4053,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3747,11.6620133078098,38.8970468235016,38.8970468235016,7230,3023,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3748,0.0511522322681779,67.6574599235616,67.6574599235616,10815,889,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3749,2.88210751174332,1.05792206603211,1.05792206603211,6038,12056,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3750,8.68484355853154,28.8829499574808,28.8829499574808,6884,4711,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3751,8.14663035951109,11.3573560429435,11.3573560429435,2375,9545,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3752,7.48988227248192,22.9996640610695,22.9996640610695,4481,6084,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3753,1.00873789817188,45.5657553299094,45.5657553299094,2666,2227,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3754,3.56107443432475,38.0895461015923,38.0895461015923,7771,3125,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3755,1.93591525199565,0.324972335328447,0.324972335328447,10623,12154,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3756,5.22441656390826,20.6831465959549,20.6831465959549,3031,6720,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3757,13.8291760035009,27.7113488216528,27.7113488216528,553,4986,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3758,7.47937859908955,23.804956745457,23.804956745457,3937,5901,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3759,17.4511121114095,21.3677821881843,21.3677821881843,6417,6545,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3760,28.711217880249,52.0260818004608,52.0260818004608,10182,1692,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3761,16.297677059599,66.9904197352526,66.9904197352526,1277,914,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3762,1.08741776227951,11.2770875310898,11.2770875310898,12566,9562,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3763,13.1573556390859,25.1196393223132,25.1196393223132,4496,5567,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3764,0.77571518515381,25.01513647236,25.01513647236,5762,5596,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3765,1.6438687465809,20.9934931272342,20.9934931272342,7381,6644,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3766,3.8572218531654,0,0,3212,12353,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3767,0.277402490377426,15.8719260787964,15.8719260787964,5448,8133,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3768,1.1680120432709,87.2287752310927,87.2287752310927,163,441,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3769,17.46944456622,92.0399585425854,92.0399585425854,8201,379,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3770,2.5397762881385,6.59032306671143,6.59032306671143,10557,10912,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3771,2.86855002332617,26.2858512525205,26.2858512525205,183,5292,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3772,0.610285478830338,13.4408584356308,13.4408584356308,7333,8918,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3773,7.39001238822937,20.1358243703842,20.1358243703842,4556,6906,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3774,5.34630475622235,42.7440941662901,42.7440941662901,12609,2518,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3775,39.5761324564616,2.54561996459961,2.54561996459961,9047,11793,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3776,3.17348919391632,31.4129161024094,31.4129161024094,11991,4186,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3777,6.38982818044465,40.9932204279406,40.9932204279406,6807,2742,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3778,3.09595080952586,21.7477445013729,21.7477445013729,9237,6450,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3779,0.998649001121521,11.9389533686638,11.9389533686638,8245,9379,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3780,0.798919172286987,21.1795637130737,21.1795637130737,11720,6596,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3781,2.82950700521469,24.7433940410614,24.7433940410614,12191,5657,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3782,1.42295683658004,40.6791318849076,40.6791318849076,1501,2786,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3783,0.348734559331621,15.8191881009511,15.8191881009511,2406,8147,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3784,9.45128992866067,22.10195646847,22.10195646847,9693,6354,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3785,5.9241204042315,45.224661687428,45.224661687428,4689,2252,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3786,1.03563646475474,28.8503329992294,28.8503329992294,8217,4718,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3787,1.32948827084308,70.0689352009154,70.0689352009154,6309,799,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3788,0,16.0883079981804,16.0883079981804,9067,8052,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3789,1.26131563587114,40.0636423416436,40.0636423416436,10359,2876,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3790,5.27381445065197,50.9801071515102,50.9801071515102,657,1767,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3791,0,11.4329524960434,11.4329524960434,6729,9525,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3792,3.01285132667087,28.0776455070799,28.0776455070799,10039,4881,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3793,4.43844985961914,11.4553099632263,11.4553099632263,1947,9509,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3794,1.10961246490479,13.8481523752213,13.8481523752213,1363,8767,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3795,1.26386230622706,20.5818315685597,20.5818315685597,3394,6749,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3796,4.53931935628255,48.8295513499867,48.8295513499867,9933,1933,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3797,2.53625706263951,0,0,459,12354,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3798,2.21921992301941,0,0,11659,12355,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3799,12.8397471904755,24.7288712092808,24.7288712092808,1731,5663,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3800,22.6360694885254,34.1961367925008,34.1961367925008,6009,3740,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3801,3.85281529691484,8.20254369245635,8.20254369245635,3908,10459,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3802,4.43844503164291,7.63684988021851,7.63684988021851,1182,10612,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3803,3.44362174455649,58.7486775885555,58.7486775885555,2810,1275,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3804,0.493628783824326,30.0828017136897,30.0828017136897,9226,4441,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3805,4.5353153679106,16.0414352606213,16.0414352606213,11793,8070,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3806,2.58909332752228,12.7280848026276,12.7280848026276,4873,9159,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3807,11.3222711010344,44.5564085359027,44.5564085359027,743,2313,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3808,16.317807607791,8.08607053756714,8.08607053756714,7464,10487,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3809,28.2624464596019,23.5095472335815,23.5095472335815,3477,5964,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3810,21.6374150395393,32.8384608268738,32.8384608268738,7176,3965,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3811,1.90900859012399,17.7463366737502,17.7463366737502,384,7593,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3812,0.332882988452911,42.4354314804077,42.4354314804077,7886,2558,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3813,3.66813798581273,74.8327031766088,74.8327031766088,6372,656,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3814,1.61044681582469,8.30049452058072,8.30049452058072,10533,10430,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3815,7.76728010177612,0,0,10198,12356,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3816,4.07227290391922,6.82225322723389,6.82225322723389,699,10852,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3817,0.263149012690005,44.8753071585192,44.8753071585192,3621,2289,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3818,2.93135885605172,31.421277729433,31.421277729433,10201,4184,12821,12821,12821,12821,12821,12821,TRUE,TRUE
