gene_id	gene_name	GSM9304310_mESC_E14_ctrl_A_d4	GSM9304311_mESC_E14_ctrl_B_d4	GSM9396007_MEF_3T3_mock_A_4hpi	GSM9396008_MEF_3T3_mock_B_4hpi	GSM9396009_MEF_3T3_mock_C_4hpi
ENSMUSG00000000001.4	Gnai3	74.281384	75.866773	110.825523	123.191924	124.862488
ENSMUSG00000000003.15	Pbsn	0	0	0	0	0
ENSMUSG00000000028.15	Cdc45	38.031649	38.376486	15.654035	10.59572	14.298916
ENSMUSG00000000031.16	H19	3.314679	3.941507	0.932382	0.672297	0.510066
ENSMUSG00000000037.17	Scml2	11.534807	8.846934	0.631108	0.604746	0.971782
ENSMUSG00000000049.11	Apoh	0	0	1.347436	1.324971	0.962878
ENSMUSG00000000056.7	Narf	8.480201	8.542858	4.437892	4.131224	4.909536
ENSMUSG00000000058.6	Cav2	0.178831	0	25.487552	39.020519	37.215502
ENSMUSG00000000078.7	Klf6	15.200443	17.210978	63.19031	55.03617	60.908916
ENSMUSG00000000085.16	Scmh1	9.531178	5.893437	37.854656	34.064971	44.263949
ENSMUSG00000000088.7	Cox5a	538.314954	499.882088	343.494301	372.156913	365.403569
ENSMUSG00000000093.6	Tbx2	0.042036	0.122496	0.781726	1.031794	1.122985
ENSMUSG00000000094.12	Tbx4	0.709288	0.793551	2.324943	2.255201	2.067532
ENSMUSG00000000103.12	Zfy2	0.263853	0.158979	0	0	0.154303
ENSMUSG00000000120.6	Ngfr	6.885629	7.370123	0	0.033427	0.044141
ENSMUSG00000000125.5	Wnt3	0.045731	0.076444	0	0	0
ENSMUSG00000000126.11	Wnt9a	0.645186	0.401911	0.548865	0.43135	0.374516
ENSMUSG00000000127.15	Fer	9.739799	10.817615	32.050103	28.311916	25.266146
ENSMUSG00000000131.15	Xpo6	57.020708	56.46085	43.267141	41.468968	40.307559
ENSMUSG00000000134.17	Tfe3	51.727741	49.56665	65.948268	67.246578	81.699345
ENSMUSG00000000142.15	Axin2	2.17688	2.282822	0.362871	0.267668	0.220315
ENSMUSG00000000148.17	Brat1	9.254915	9.441252	7.523006	7.033612	6.836148
ENSMUSG00000000149.10	Gna12	19.56777	20.694819	38.920722	41.885183	42.546873
ENSMUSG00000000154.16	Slc22a18	3.361407	2.951434	0	0	0.038747
ENSMUSG00000000157.16	Itgb2l	0	0	0	0	0
ENSMUSG00000000159.16	Igsf5	0.277361	0.15386	0	0	0
ENSMUSG00000000167.14	Pih1d2	2.464443	1.178627	1.995159	2.049433	2.19552
ENSMUSG00000000168.9	Dlat	47.902295	58.896284	46.029517	45.297665	42.309622
ENSMUSG00000000171.5	Sdhd	179.342759	166.18469	122.84113	119.894089	119.725976
ENSMUSG00000000182.9	Fgf23	0.165176	0.137558	0	0	0
ENSMUSG00000000183.6	Fgf6	0	0	0	0	0
ENSMUSG00000000184.12	Ccnd2	3.75993	1.870095	72.720161	65.022647	67.312884
ENSMUSG00000000194.13	Gpr107	26.906654	24.207169	29.632342	31.118516	28.954727
ENSMUSG00000000197.8	Nalcn	0.138665	0.090562	0.015281	0.020073	0.034868
ENSMUSG00000000202.9	Btbd17	1.460385	1.355711	0	0	0
ENSMUSG00000000204.16	Slfn4	0.089709	0.017886	0	0	0
ENSMUSG00000000214.11	Th	0.049055	0.275211	0	0	0
ENSMUSG00000000215.11	Ins2	0	0	0	0	0
ENSMUSG00000000216.8	Scnn1g	0	0.019226	0	0	0
ENSMUSG00000000223.13	Drp2	0.485387	0.552553	0.18956	0.265198	0.15622
ENSMUSG00000000244.17	Tspan32	1.261997	1.225549	0.011952	0.06036	0.202553
ENSMUSG00000000247.11	Lhx2	0.155534	0	0	0	0
ENSMUSG00000000248.16	Clec2g	0	0	0	0	0
ENSMUSG00000000253.13	Gmpr	9.159532	9.245324	3.529768	3.614999	3.857062
ENSMUSG00000000263.15	Glra1	0	0	0.148236	0.165747	0.038322
ENSMUSG00000000266.11	Mid2	0.051549	0	7.326342	8.279382	8.685406
ENSMUSG00000000275.16	Trim25	39.399555	51.787448	21.981269	24.098497	21.140563
ENSMUSG00000000276.11	Dgke	12.106561	13.807718	2.2948	4.312451	3.711532
ENSMUSG00000000278.10	Scpep1	141.629843	132.162375	283.459216	288.192668	282.935266
ENSMUSG00000000282.12	Mnt	13.44062	13.536661	36.865285	41.992058	39.28398
ENSMUSG00000000290.13	Itgb2	0.185047	0.291231	2.344453	3.596931	3.749593
ENSMUSG00000000295.13	Hddc2	44.114757	46.392409	21.545109	21.967101	22.957814
ENSMUSG00000000296.8	Tpd52l1	23.670617	27.893154	0.15408	0	0.125711
ENSMUSG00000000301.16	Pemt	3.79573	7.166184	4.18066	4.960645	5.67449
ENSMUSG00000000303.12	Cdh1	104.338664	113.631136	0.072797	0.0919	0.009061
ENSMUSG00000000305.12	Cdh4	0.253531	0.314568	0	0	0
ENSMUSG00000000308.14	Ckmt1	20.340821	20.197834	0	0	0
ENSMUSG00000000317.11	Bcl6b	7.139198	6.761358	0.080911	0.690176	0.109596
ENSMUSG00000000318.16	Clec10a	0.13792	0.59526	0	0.189095	0.14683
ENSMUSG00000000320.10	Alox12	0.82465	0.658685	0	0	0
ENSMUSG00000000325.16	Arvcf	20.175263	23.315506	3.053127	3.100877	1.908923
ENSMUSG00000000326.13	Comt	15.99182	22.890752	63.127647	58.242788	56.403481
ENSMUSG00000000339.14	Rtca	33.100625	30.182024	42.039204	45.674821	48.211964
ENSMUSG00000000340.10	Dbt	37.785738	38.723053	1.881001	1.963154	1.465677
ENSMUSG00000000346.9	Dazap2	43.145247	50.766673	208.217417	236.192545	242.707624
ENSMUSG00000000355.13	Mcts1	67.594377	71.084674	73.515186	61.548755	60.086776
ENSMUSG00000000359.3	Rem1	0.420522	0.099346	0	0	0
ENSMUSG00000000365.9	Rnf17	81.684072	75.546377	0	0	0
ENSMUSG00000000374.8	Trappc10	12.693377	14.598743	25.400013	23.1082	24.322508
ENSMUSG00000000378.15	Ccm2	17.82784	17.078551	56.175232	45.372661	44.816302
ENSMUSG00000000381.10	Wap	0	0	0	0	0
ENSMUSG00000000384.15	Tbrg4	89.574426	79.110657	63.38007	63.223352	62.021889
ENSMUSG00000000385.8	Tmprss2	0.087881	2.160684	0	0	0
ENSMUSG00000000386.16	Mx1	0.106592	0.502933	1.110835	0.167451	0.475107
ENSMUSG00000000392.17	Fap	0	0	0.786337	0.353613	0.617425
ENSMUSG00000000394.15	Gcg	0	0	0	0	0
ENSMUSG00000000399.10	Ndufa9	94.595226	86.050137	70.834972	75.762874	80.053667
ENSMUSG00000000402.2	Egfl6	0.862988	0.998913	0	0	0
ENSMUSG00000000409.14	Lck	10.369356	13.02651	0.218082	0.05759	0.169575
ENSMUSG00000000411.7	Tssk3	0	0.175186	0	0	0
ENSMUSG00000000416.16	Cttnbp2	1.504124	1.421005	0	0	0
ENSMUSG00000000420.15	Galnt1	28.642748	28.809621	62.509719	64.375766	63.396638
ENSMUSG00000000435.1	Myf5	0	0.323618	0	0	0
ENSMUSG00000000439.9	Mkrn2	17.977229	19.03212	11.882536	12.899074	17.746743
ENSMUSG00000000440.12	Pparg	0	0	0	0.318356	0.067112
ENSMUSG00000000441.17	Raf1	48.907836	62.924037	59.576831	60.474628	63.534219
ENSMUSG00000000486.13	Septin1	204.267539	193.156933	1.133482	1.52769	2.983769
ENSMUSG00000000489.7	Pdgfb	2.709973	3.405235	1.532447	1.826119	0.673521
ENSMUSG00000000530.16	Acvrl1	0.650991	0.946456	0.547103	1.082979	0.284381
ENSMUSG00000000531.5	Grasp	18.504612	19.233391	30.665437	27.796787	28.656076
ENSMUSG00000000532.11	Acvr1b	20.075846	19.326023	7.283391	8.377081	9.038093
ENSMUSG00000000538.18	Tom1l2	5.070807	6.115227	43.128715	43.137752	42.108906
ENSMUSG00000000544.14	Gpa33	68.730343	64.436941	0	0	0
ENSMUSG00000000552.10	Zfp385a	12.235883	12.810821	20.188826	24.01832	22.026785
ENSMUSG00000000555.8	Itga5	18.09238	18.291259	322.254572	299.25679	329.063771
ENSMUSG00000000560.9	Gabra2	0	0	0	0	0
ENSMUSG00000000561.14	Wdr77	126.002342	129.025245	88.205095	83.106126	76.322536
ENSMUSG00000000562.5	Adora3	0	0	0	0	0
ENSMUSG00000000563.17	Atp5pb	375.148355	341.144167	217.175723	242.617937	234.547105
ENSMUSG00000000567.5	Sox9	0	0	175.877641	221.716487	222.093116
ENSMUSG00000000568.15	Hnrnpd	418.702819	417.6217	273.134648	333.687682	321.215239
ENSMUSG00000000579.14	Dynlt1c	20.714989	18.934474	0.417329	3.359581	1.55195
ENSMUSG00000000581.8	C1d	88.08937	84.144301	58.508329	47.739422	54.709451
ENSMUSG00000000594.7	Gm2a	11.176631	10.48482	3.775912	3.808186	4.021501
ENSMUSG00000000600.15	Krit1	25.812903	28.043669	22.568878	25.221841	25.91141
ENSMUSG00000000605.9	Clcn4	3.145444	2.042611	39.976526	37.181891	38.461888
ENSMUSG00000000606.18	Vmn2r88	0	0	0	0	0
ENSMUSG00000000617.14	Grm6	0.043779	0	0	0	0
ENSMUSG00000000627.15	Sema4f	1.65179	0.797927	0	0	0
ENSMUSG00000000628.10	Hk2	107.749163	100.491524	25.02344	25.063849	25.130658
ENSMUSG00000000631.20	Myo18a	20.123692	17.264413	8.509837	8.791674	8.343337
ENSMUSG00000000632.13	Sez6	0.603789	1.437809	0	0	0
ENSMUSG00000000673.9	Haao	0.447681	1.047341	0	0	0
ENSMUSG00000000682.7	Cd52	0	0	0	0	0
ENSMUSG00000000686.11	Abhd15	0.185155	0.139419	0.566791	0.054153	0.159513
ENSMUSG00000000690.5	Hoxb6	0	0.089363	0.525781	0.203849	0.700047
ENSMUSG00000000693.10	Loxl3	0.321858	0.252684	29.596768	25.376495	37.715988
ENSMUSG00000000701.8	Tcl1b5	0	0	0	0	0
ENSMUSG00000000706.16	Btn1a1	0.10284	0.036332	0.331769	0.061999	0.026664
ENSMUSG00000000708.14	Kat2b	29.593561	30.841121	9.053447	10.517712	10.998993
ENSMUSG00000000711.3	Rab5b	39.109812	41.88284	62.307453	62.485842	62.101839
ENSMUSG00000000724.10	Cryba1	0	0	0	0	0
ENSMUSG00000000730.13	Dnmt3l	286.458955	275.830121	7.935762	6.444016	5.521248
ENSMUSG00000000731.15	Aire	33.479029	39.747269	0.038078	0	0
ENSMUSG00000000732.9	Icosl	8.026455	9.354833	0.064786	0.067761	0.224892
ENSMUSG00000000738.18	Spg7	40.248786	32.259366	32.690059	25.077786	28.29383
ENSMUSG00000000739.14	Sult5a1	3.104007	3.054498	0	0.396158	0.170729
ENSMUSG00000000740.12	Rpl13	2711.039923	2681.948612	1704.250701	1847.218586	1774.99121
ENSMUSG00000000743.9	Chmp1a	43.480569	42.739235	113.458239	78.247017	73.571773
ENSMUSG00000000751.13	Rpa1	172.84009	173.51285	80.848932	81.828937	80.119366
ENSMUSG00000000753.15	Serpinf1	1.691143	0.439322	1205.384604	1107.099351	1121.107233
ENSMUSG00000000759.14	Tubgcp3	11.986027	12.830984	22.047922	21.181267	26.225081
ENSMUSG00000000766.18	Oprm1	0	0	0	0	0
ENSMUSG00000000776.13	Polr3d	18.84006	19.209044	34.988198	30.671655	26.874396
ENSMUSG00000000782.16	Tcf7	38.64884	38.188458	0.105491	0.261969	0.273543
ENSMUSG00000000787.12	Ddx3x	229.962713	254.347837	236.531011	270.586036	294.108282
ENSMUSG00000000791.9	Il12rb1	0.436107	0.255099	0.692587	1.21399	1.542363
ENSMUSG00000000792.2	Slc5a5	0.607773	0.421198	0.032956	0.113725	0.239706
ENSMUSG00000000794.9	Kcnn3	0.126784	0.550217	0	0.016958	0
ENSMUSG00000000804.14	Usp32	16.156869	15.028765	29.612666	22.982758	28.679176
ENSMUSG00000000805.18	Car4	6.572744	5.61006	0	0	0
ENSMUSG00000000811.13	Txnrd3	5.871249	7.235686	10.342865	10.322088	11.924074
ENSMUSG00000000817.10	Fasl	0	0	0	0	0
ENSMUSG00000000823.16	Zfp512b	21.264503	25.401292	14.467478	15.675428	26.875509
ENSMUSG00000000826.16	Dnajc5	24.918284	30.055496	43.960453	43.908772	51.332623
ENSMUSG00000000827.18	Tpd52l2	146.245566	163.463384	64.606039	67.927626	72.76864
ENSMUSG00000000838.17	Fmr1	45.728846	53.108562	61.074319	64.996145	81.486551
ENSMUSG00000000861.15	Bcl11a	0.712229	0.863983	0	0	0
ENSMUSG00000000869.12	Il4	0	0	0	0	0
ENSMUSG00000000876.11	Pxmp4	8.38826	11.664259	5.196565	7.064457	5.633124
ENSMUSG00000000881.12	Dlg3	11.360478	12.535574	14.610798	14.499618	15.586892
ENSMUSG00000000884.17	Gnb1l	9.195161	8.143917	4.533478	4.484721	4.756054
ENSMUSG00000000889.8	Dbh	0	0	0	0	0
ENSMUSG00000000901.17	Mmp11	34.480875	33.455131	13.933836	13.995476	17.398178
ENSMUSG00000000902.13	Smarcb1	58.263402	58.330784	61.406343	60.273728	62.440365
ENSMUSG00000000903.3	Vpreb3	1.762599	1.246025	0	0.144817	0.188409
ENSMUSG00000000915.15	Hip1r	6.930607	10.063145	24.88937	15.944134	15.584296
ENSMUSG00000000916.15	Nsun5	34.376143	31.887116	21.206186	12.510443	14.02337
ENSMUSG00000000934.9	Top1mt	10.198915	7.30334	7.219103	9.265125	7.913517
ENSMUSG00000000938.11	Hoxa10	0.042165	0.101202	2.192367	2.364544	2.713804
ENSMUSG00000000942.10	Hoxa4	0.080733	0	1.161443	2.49115	1.766114
ENSMUSG00000000948.16	Gm38393	28.064859	33.203858	0.191829	0.244904	0.429638
ENSMUSG00000000957.11	Mmp14	6.402529	5.516881	575.632213	559.468213	632.593059
ENSMUSG00000000958.10	Slc7a7	107.861151	106.585075	0.233179	0.790004	0.840604
ENSMUSG00000000959.7	Oxa1l	58.403687	58.478102	33.093931	32.784001	36.006023
ENSMUSG00000000976.13	Heatr6	10.869497	10.683593	17.173575	12.017168	13.592519
ENSMUSG00000000982.5	Ccl3	0	0.755774	0	0.128627	1.261546
ENSMUSG00000000983.13	Wfdc18	0	0	1.86224	1.846616	2.744003
ENSMUSG00000001014.6	Icam4	1.6823	0.774916	0	0.154645	0.114027
ENSMUSG00000001016.12	Ilf2	168.507911	180.587047	80.887912	70.91425	74.816117
ENSMUSG00000001017.15	Chtop	111.779959	123.174606	118.993019	124.149374	129.1225
ENSMUSG00000001018.15	Snapin	42.275092	33.595697	37.983106	47.075351	46.04305
ENSMUSG00000001020.8	S100a4	0	1.677043	6689.393694	6240.49439	6345.545653
ENSMUSG00000001021.13	S100a3	0.282316	2.059976	2.446189	4.648858	4.126596
ENSMUSG00000001023.10	S100a5	0	0	1.388438	0.568116	0.60992
ENSMUSG00000001025.8	S100a6	45.248987	35.188507	2610.782562	2351.531491	2198.894722
ENSMUSG00000001027.7	Scn4a	0.076953	0.022156	0	0	0
ENSMUSG00000001029.15	Icam2	0.153688	1.806356	0	0	0
ENSMUSG00000001034.17	Mapk7	20.189011	19.362352	25.580408	24.636002	22.319995
ENSMUSG00000001036.17	Epn2	24.772786	26.534755	26.212704	30.773131	24.904909
ENSMUSG00000001039.12	B9d1	28.932841	30.945448	19.54445	18.747923	21.714191
ENSMUSG00000001052.15	Sec24b	14.485314	20.158499	59.915292	57.650264	55.355555
ENSMUSG00000001053.15	N4bp3	33.984094	36.33895	0	0	0
ENSMUSG00000001054.9	Rmnd5b	49.638116	52.645602	21.152019	16.099691	18.118933
ENSMUSG00000001056.3	Nhp2	256.362427	243.007705	89.813432	92.507447	95.340686
ENSMUSG00000001062.18	Vps9d1	4.181163	5.645812	9.681944	11.447548	7.929346
ENSMUSG00000001065.15	Zfp276	7.805324	2.101014	12.822383	10.491803	10.430593
ENSMUSG00000001076.7	C1ql4	0.335239	0.493312	0.517479	0.477143	0.432016
ENSMUSG00000001082.12	Mfsd10	72.7606	86.802578	71.958303	78.449268	85.249327
ENSMUSG00000001089.14	Luzp1	24.248337	27.061711	22.357069	24.094124	27.526784
ENSMUSG00000001095.5	Slc13a2	0	0.074259	0	0	0
ENSMUSG00000001098.15	Kctd10	15.777938	16.208826	201.819508	193.190717	191.487931
ENSMUSG00000001100.10	Poldip2	66.588625	69.438216	68.028701	69.765236	71.707586
ENSMUSG00000001103.7	Sebox	0	0	0	0	0
ENSMUSG00000001105.15	Ift20	43.775501	51.73429	38.483871	48.785458	38.361999
ENSMUSG00000001119.7	Col6a1	0.142566	0.044648	460.258067	428.856025	502.845968
ENSMUSG00000001120.15	Pcbp3	12.019267	14.754123	17.152606	16.171209	17.970053
ENSMUSG00000001123.15	Lgals9	1.532039	3.367426	7.034553	10.104899	15.89365
ENSMUSG00000001127.12	Araf	52.084206	46.260457	42.162101	41.400054	37.364408
ENSMUSG00000001128.7	Cfp	2.052629	1.952594	2.738644	1.672386	2.249138
ENSMUSG00000001131.11	Timp1	37.404734	37.095338	772.107429	830.383633	591.929237
ENSMUSG00000001134.9	Uxt	63.859208	74.945337	33.146895	18.749145	19.751855
ENSMUSG00000001138.13	Cnnm3	10.897688	10.141622	5.448595	6.15377	5.538083
ENSMUSG00000001143.13	Lman2l	6.895514	7.52713	10.614392	8.276061	7.616608
ENSMUSG00000001150.7	Mcm3ap	56.093525	81.014782	19.177526	18.829917	18.860032
ENSMUSG00000001151.10	Pcnt	27.921476	35.389686	10.775362	7.646813	9.092249
ENSMUSG00000001155.13	Ftcd	0.22824	0.140633	0	0	0
ENSMUSG00000001156.9	Mxd1	2.233276	2.24244	2.633212	2.53072	3.590496
ENSMUSG00000001157.13	Gmcl1	22.684372	25.289294	22.161847	23.512696	22.413141
ENSMUSG00000001158.13	Snrnp27	93.776991	101.940803	68.499401	72.518473	65.31241
ENSMUSG00000001166.17	Oas1c	2.759374	2.713937	0.168981	0.026647	0.105023
ENSMUSG00000001168.16	Oas1h	0.194978	0.205868	0	0	0
ENSMUSG00000001173.15	Ocrl	13.362619	12.623182	12.599195	14.090996	11.881633
ENSMUSG00000001175.16	Calm1	206.298929	229.646889	315.633198	297.825106	308.25275
ENSMUSG00000001211.15	Agpat3	18.637478	17.842034	56.014247	63.198945	62.373283
ENSMUSG00000001225.12	Slc26a3	0.019335	0	0	0	0
ENSMUSG00000001227.12	Sema6b	2.419982	2.081948	0.073225	0.070743	0.04201
ENSMUSG00000001228.14	Uhrf1	148.18167	151.617828	23.003292	17.587941	20.424757
ENSMUSG00000001229.9	Dpp9	13.136165	16.85762	43.36118	38.018609	38.076941
ENSMUSG00000001240.13	Ramp2	3.947363	3.522798	2.108704	2.547496	1.492549
ENSMUSG00000001247.16	Lsr	14.36578	15.213862	0	0.061708	0.020592
ENSMUSG00000001248.15	Gramd1a	23.648721	26.33914	45.333248	39.110598	40.829157
ENSMUSG00000001249.14	Hpn	10.127084	14.226166	0.382749	0.037772	0.023924
ENSMUSG00000001260.10	Gabrg1	0.031664	0.038587	0	0	0
ENSMUSG00000001270.9	Ckb	80.325442	79.30946	0.094127	0.123945	0.083832
ENSMUSG00000001280.13	Sp1	56.314164	66.044432	52.545322	58.120078	52.366158
ENSMUSG00000001281.10	Itgb7	14.301837	13.563479	9.908066	9.134198	7.104158
ENSMUSG00000001285.12	Myg1	45.62103	49.580811	40.252282	39.667868	44.494451
ENSMUSG00000001288.15	Rarg	55.710938	64.073217	99.622422	91.862748	107.485194
ENSMUSG00000001289.12	Pfdn5	147.321613	152.196451	328.942966	204.793287	235.611005
ENSMUSG00000001300.16	Efnb2	1.612681	2.662912	59.363149	56.438615	59.319151
ENSMUSG00000001305.5	Rrp15	65.328929	66.486359	49.325336	49.006291	43.919586
ENSMUSG00000001313.12	Rnd2	19.95863	19.024588	35.28671	32.673469	33.018546
ENSMUSG00000001323.17	Srr	2.753158	3.131935	9.934247	9.672839	9.438021
ENSMUSG00000001333.9	Sync	0.992751	0.273314	0.195355	0.214807	0.26519
ENSMUSG00000001334.9	Fndc5	0.801827	0.381092	0.077235	0.047896	0.015715
ENSMUSG00000001348.15	Acp5	3.910087	4.636009	0	0.048671	0.032086
ENSMUSG00000001349.5	Cnn1	1.092685	2.869137	0.222006	0.091556	0.32587
ENSMUSG00000001366.14	Fbxo9	17.646877	14.510905	13.413508	13.75421	16.307217
ENSMUSG00000001376.17	Vps50	40.814698	40.364664	37.435047	38.435891	37.154038
ENSMUSG00000001380.7	Hars	64.079087	71.460544	50.880186	50.341712	43.915135
ENSMUSG00000001383.9	Zmat2	74.409574	74.622405	45.137375	42.342687	40.319397
ENSMUSG00000001403.13	Ube2c	294.653963	334.892355	129.013588	157.755696	136.726201
ENSMUSG00000001415.10	Smg5	66.254482	66.523822	40.32593	40.663371	37.046331
ENSMUSG00000001416.13	Cct3	382.350281	392.357228	226.871648	205.127835	206.066257
ENSMUSG00000001418.13	Glmp	109.922696	115.29008	467.47474	496.809456	486.11816
ENSMUSG00000001419.17	Mef2d	14.411171	14.862454	73.568173	56.355538	74.779569
ENSMUSG00000001420.13	Tmem79	7.065813	6.13005	0.434965	0.320969	0.310905
ENSMUSG00000001424.14	Snd1	68.558146	70.175907	107.830696	100.217556	102.739186
ENSMUSG00000001435.15	Col18a1	89.200665	77.356305	1.384162	0.865404	1.182338
ENSMUSG00000001436.15	Slc19a1	13.790409	11.441421	11.665926	12.054023	14.030767
ENSMUSG00000001440.5	Kpnb1	231.240099	246.910654	195.535865	181.463532	170.197957
ENSMUSG00000001441.13	Npepps	133.348465	158.242943	92.680924	91.465494	94.525777
ENSMUSG00000001444.2	Tbx21	0.199428	0.27377	0	0	0.034513
ENSMUSG00000001445.10	Mrpl10	69.771423	68.507617	38.487685	42.153362	36.036515
ENSMUSG00000001467.5	Cyp51	42.747706	43.592838	457.798432	430.901355	462.928946
ENSMUSG00000001472.17	Tcf25	54.742197	55.744742	181.15122	144.338225	150.816331
ENSMUSG00000001473.7	Tubb6	34.445205	41.917401	174.684603	156.091806	139.498364
ENSMUSG00000001482.15	Def8	25.827823	28.214279	12.83644	13.300042	13.461498
ENSMUSG00000001493.9	Meox1	0.440076	0.451281	0.093827	0.105042	0.034633
ENSMUSG00000001494.6	Sost	0	0.030549	0	0	0
ENSMUSG00000001496.15	Nkx2-1	0	0	0	0	0
ENSMUSG00000001497.18	Pax9	0.04013	0	3.005474	3.312093	2.648105
ENSMUSG00000001504.10	Irx2	0.818246	1.656741	41.462704	59.897268	68.316375
ENSMUSG00000001506.10	Col1a1	0.56635	0.663981	450.018332	478.292354	559.795686
ENSMUSG00000001507.16	Itga3	12.529738	14.084121	8.702909	9.137862	9.086478
ENSMUSG00000001508.15	Sgca	0.10229	0.963811	0.097261	0	0.178336
ENSMUSG00000001510.8	Dlx3	0.268096	0.447159	0	0	0.016171
ENSMUSG00000001517.14	Foxm1	31.170482	36.00837	33.720572	32.201544	37.009645
ENSMUSG00000001518.12	Itfg2	15.157026	12.460979	10.826867	8.372082	8.796642
ENSMUSG00000001520.12	Nrip2	0.015289	0.21746	0	0	0
ENSMUSG00000001521.12	Tulp3	31.128713	31.969636	42.182436	40.203838	42.09379
ENSMUSG00000001524.14	Gtf2h4	40.141383	42.280655	16.931223	16.019759	15.639091
ENSMUSG00000001525.10	Tubb5	783.468358	790.432998	827.083825	833.180478	815.856721
ENSMUSG00000001542.7	Ell2	23.156826	24.103636	34.515067	34.11799	25.882592
ENSMUSG00000001552.14	Jup	56.080987	70.999088	28.985453	25.45632	21.649021
ENSMUSG00000001555.10	Fkbp10	11.87563	10.680696	66.408301	71.680603	73.46287
ENSMUSG00000001558.5	Klhl10	1.05531	1.133454	0	0.029924	0.01952
ENSMUSG00000001566.9	Mnx1	0.146764	0.247244	0	0	0
ENSMUSG00000001569.10	Nom1	22.559865	25.968355	31.791482	30.557322	27.549475
ENSMUSG00000001576.15	Ergic1	44.027216	42.990644	85.615622	88.383688	88.432895
ENSMUSG00000001583.13	Tnk1	5.710894	4.628429	0	0	0
ENSMUSG00000001588.12	Acap1	8.13169	7.063595	0.085438	0	0.047667
ENSMUSG00000001604.14	Tcea3	84.860064	82.409842	1.143142	0.416435	0.650699
ENSMUSG00000001622.15	Csn3	0.417108	0.565707	0	0	0
ENSMUSG00000001627.12	Ifrd1	59.984379	72.933461	359.350621	373.155868	344.790387
ENSMUSG00000001630.13	Stk38l	10.281161	11.221598	14.071553	12.475774	14.731262
ENSMUSG00000001632.16	Brpf1	15.528328	15.107673	20.342146	16.92217	18.890158
ENSMUSG00000001642.18	Akr1b3	382.112009	414.288974	288.539269	370.632465	184.045972
ENSMUSG00000001655.6	Hoxc13	1.947462	2.159895	0	0	0
ENSMUSG00000001656.3	Hoxc11	0	0.183063	0.048301	0	0
ENSMUSG00000001657.7	Hoxc8	0.026385	0	0.031283	0	0.072039
ENSMUSG00000001661.5	Hoxc6	0	0	6.551425	7.235384	7.095112
ENSMUSG00000001663.10	Gstt1	3.902501	4.132979	2.44504	2.244048	2.765122
ENSMUSG00000001665.11	Gstt3	7.385337	8.31885	2.007721	2.62287	2.104551
ENSMUSG00000001666.8	Ddt	152.472913	166.627198	15.265664	16.320102	13.897535
ENSMUSG00000001670.13	Tat	0.040714	0	0	0	0
ENSMUSG00000001672.14	Marveld3	1.617902	1.438022	0	0	0
ENSMUSG00000001674.11	Ddx18	113.17653	140.167861	107.496902	88.515256	85.279048
ENSMUSG00000001687.15	Ubl3	45.466002	43.953284	19.310483	22.417108	26.870219
ENSMUSG00000001700.10	Gramd3	3.337972	4.487863	16.723729	17.662658	16.016055
ENSMUSG00000001707.8	Eef1e1	133.159287	151.457849	48.360905	32.821052	28.768072
ENSMUSG00000001729.14	Akt1	12.806866	15.163101	183.495345	166.067117	202.870712
ENSMUSG00000001739.14	Cldn15	0.264598	0.527624	0.70867	0.108448	0.165226
ENSMUSG00000001741.12	Il16	0.034233	0.208358	0.306331	0.235343	0.327347
ENSMUSG00000001750.16	Tcirg1	9.383308	14.218209	73.412665	59.005536	54.264267
ENSMUSG00000001751.9	Naglu	2.877632	2.567081	34.115053	38.587746	45.152465
ENSMUSG00000001755.12	Coasy	12.904926	13.014907	19.641394	15.213667	19.179559
ENSMUSG00000001761.7	Smo	11.019524	9.974005	76.346103	79.398322	80.403946
ENSMUSG00000001763.14	Tspan33	2.342334	2.407532	0.17779	0.069389	0.045693
ENSMUSG00000001767.5	Crnkl1	28.929633	32.888233	23.345265	23.297966	21.08594
ENSMUSG00000001768.16	Rin2	2.609153	3.211598	93.312202	111.985127	114.718964
ENSMUSG00000001773.14	Folh1	0.096302	0.282825	0	0	0
ENSMUSG00000001774.8	Chordc1	63.888329	75.482538	44.219679	36.696656	40.30904
ENSMUSG00000001783.3	Rtcb	98.631208	93.493463	118.4026	108.549845	104.61766
ENSMUSG00000001785.13	Pwp1	62.079984	63.094678	30.012416	28.33568	27.017971
ENSMUSG00000001786.14	Fbxo7	17.437862	16.072393	16.90307	13.187563	12.318944
ENSMUSG00000001794.13	Capns1	240.53681	237.063063	311.328561	305.214444	303.861671
ENSMUSG00000001802.16	Lrp3	1.518837	2.414148	0	0	0
ENSMUSG00000001804.9	Dsg4	0	0	0	0	0
ENSMUSG00000001815.15	Evx2	0	0	0	0	0
ENSMUSG00000001819.4	Hoxd13	0.440459	0.240743	0	0	0
ENSMUSG00000001823.5	Hoxd12	0	0	0	0	0
ENSMUSG00000001827.12	Folr1	49.069172	53.012292	0.652466	0.550368	0.445827
ENSMUSG00000001829.17	Clpb	71.765843	59.706398	14.766682	18.058647	15.892633
ENSMUSG00000001833.17	Septin7	105.765009	118.388	193.599844	225.09279	206.80907
ENSMUSG00000001844.10	Zdhhc4	19.382948	20.051122	37.696955	51.181321	49.062289
ENSMUSG00000001847.14	Rac1	117.184048	116.079195	379.398677	378.421582	405.026489
ENSMUSG00000001855.15	Nup214	25.149104	28.256953	26.019945	29.033115	35.486946
