gene_id	gene_name	GSM9304310_mESC_E14_ctrl_A_d4	GSM9304311_mESC_E14_ctrl_B_d4	GSM9396007_MEF_3T3_mock_A_4hpi	GSM9396008_MEF_3T3_mock_B_4hpi	GSM9396009_MEF_3T3_mock_C_4hpi
ENSMUSG00000033872.6	Best4-ps	0.216714	0.539878	0	0	0
ENSMUSG00000033880.11	Lgals3bp	0.397654	0.662331	14.619828	21.667816	22.672513
ENSMUSG00000033882.15	Rbm46	0.191475	0.701718	0	0	0
ENSMUSG00000033883.11	Zfp267	6.379034	6.652417	5.201831	6.146573	5.275527
ENSMUSG00000033885.15	Pxk	12.046549	10.637876	15.080867	16.204265	15.405245
ENSMUSG00000033898.17	Cfhr2	0.691777	0	0	0	0
ENSMUSG00000033900.13	Map9	2.606071	3.259551	4.945041	4.977694	5.340769
ENSMUSG00000033902.12	Mapkbp1	5.261662	7.431576	6.220666	6.469507	6.963254
ENSMUSG00000033904.16	Ccp110	25.596931	28.615883	13.710733	10.940528	11.189215
ENSMUSG00000033906.5	Zdhhc15	4.119825	4.865885	0	0	0
ENSMUSG00000033909.17	Usp36	15.358012	19.833208	15.769224	15.157828	14.73899
ENSMUSG00000033910.13	Gucy1a1	0	0	0	0	0
ENSMUSG00000033916.5	Chmp2a	121.975426	127.84987	80.369604	79.212112	77.327051
ENSMUSG00000033917.15	Gde1	27.646225	25.875452	30.646941	25.567669	27.685039
ENSMUSG00000033918.16	Parl	124.901946	139.129828	53.984426	58.100148	59.75768
ENSMUSG00000033931.9	Rbm34	37.199567	48.922082	25.110439	29.49152	24.981032
ENSMUSG00000033933.13	Vhl	12.28717	12.040177	16.246215	19.841506	17.923114
ENSMUSG00000033938.5	Ndufb7	99.06731	111.60909	81.377574	81.062959	83.554887
ENSMUSG00000033940.8	Brk1	108.721595	101.871955	158.840912	169.992117	161.960113
ENSMUSG00000033943.15	Mga	51.916568	62.518253	21.771617	21.420692	24.583781
ENSMUSG00000033948.3	Zswim5	1.201752	1.909739	0	0	0
ENSMUSG00000033949.12	Trim36	5.968297	7.269242	0.592371	0.696043	0.392267
ENSMUSG00000033952.14	Aspm	15.919276	18.723483	8.558721	9.245369	9.297062
ENSMUSG00000033953.10	Ppp3r1	52.390508	51.851378	101.443797	120.005845	122.202819
ENSMUSG00000033955.13	Tnks1bp1	15.621092	14.547234	85.524325	91.174963	85.439316
ENSMUSG00000033960.6	Jcad	2.556843	2.961632	20.45343	18.286691	16.901387
ENSMUSG00000033961.16	Zfp446	4.245743	5.640708	2.983743	2.880688	2.224248
ENSMUSG00000033963.16	Fancd2os	0.328004	0.118407	0.053067	0	0.041019
ENSMUSG00000033964.12	Zbtb41	5.090841	4.553884	24.878101	23.469141	22.935266
ENSMUSG00000033965.10	Slc16a2	0.519773	0.148092	0.792985	0.608293	1.281506
ENSMUSG00000033966.8	Cdkl4	1.160857	1.058105	0	0	0
ENSMUSG00000033967.4	Rnf225	0.550493	0.760627	0.550094	0.618112	0.726458
ENSMUSG00000033970.15	Rfc3	41.412178	38.688228	19.499021	18.878615	22.682024
ENSMUSG00000033972.9	Zfp944	9.652044	6.742069	12.092795	11.912215	10.684696
ENSMUSG00000033981.14	Gria2	0	0	0	0.017581	0
ENSMUSG00000033983.14	Coil	28.990454	29.252064	5.600956	5.737764	5.543898
ENSMUSG00000033985.17	Tesk2	12.241153	12.201431	5.633262	4.573662	4.02786
ENSMUSG00000033987.16	Dnah17	0.326658	0.440325	0.003027	0.007467	0.002471
ENSMUSG00000033991.9	Ttc37	26.977718	36.495772	9.43617	8.847651	8.303529
ENSMUSG00000033998.9	Kcnk1	4.12523	4.221061	0	0	0
ENSMUSG00000034000.15	Neu4	0	0	0	0	0
ENSMUSG00000034006.17	Slc66a2	11.388958	12.148325	15.068057	16.006316	15.437056
ENSMUSG00000034007.10	Scaper	7.198956	5.607774	2.202325	2.513277	2.604629
ENSMUSG00000034009.14	Rxfp1	0.020979	0	0	0	0
ENSMUSG00000034021.15	Pds5b	25.567131	28.110066	27.406394	28.356445	29.304227
ENSMUSG00000034022.8	Cpsf1	50.659592	55.376711	38.996093	39.805489	38.458827
ENSMUSG00000034023.16	Fancd2	31.705563	35.896963	3.357959	2.945681	2.932012
ENSMUSG00000034024.8	Cct2	493.283409	492.019881	330.694698	340.950808	317.45232
ENSMUSG00000034028.16	Cd226	0.075912	0	0	0	0
ENSMUSG00000034031.5	Ccdc182	0.130373	0	0	0	0
ENSMUSG00000034032.15	Rpap1	51.682492	60.131758	6.939198	7.692864	6.79298
ENSMUSG00000034035.18	Ccdc17	0.654325	0.060131	0.889696	1.255471	0.654807
ENSMUSG00000034037.14	Fgd5	5.14592	4.764855	0	0.02712	0
ENSMUSG00000034039.8	Prss29	0	0	0	0	0
ENSMUSG00000034040.16	Galnt17	0.435297	0.316747	8.202037	8.466447	8.609921
ENSMUSG00000034041.5	Lyl1	0.32587	0.517176	0.246831	0.100795	0.04483
ENSMUSG00000034042.16	Gpbp1l1	61.426282	71.975557	36.0472	33.517122	38.53512
ENSMUSG00000034055.16	Phka1	3.156252	3.17796	5.510932	6.176347	6.426409
ENSMUSG00000034057.8	Myrfl	0.069483	0.190331	0.051128	0.019037	0.012409
ENSMUSG00000034059.14	Ypel4	0	0	3.788947	2.299621	2.834321
ENSMUSG00000034063.8	4930590J08Rik	0.518016	0.285966	0.148873	0.269955	0.27433
ENSMUSG00000034064.14	Poglut1	45.888662	47.810337	29.93974	34.389658	32.07533
ENSMUSG00000034066.13	Farp2	0.678492	1.142977	8.075568	10.687645	7.562912
ENSMUSG00000034071.15	Zfp551	1.299819	1.011599	2.1544	2.29772	2.070694
ENSMUSG00000034075.10	Zdhhc5	15.95352	18.562456	53.867861	54.339073	56.390831
ENSMUSG00000034083.16	Ccdc174	12.429457	14.617495	14.515959	16.489633	14.820891
ENSMUSG00000034087.14	Nlrp4b	0	0	0	0	0
ENSMUSG00000034088.15	Hdlbp	107.31082	113.76019	255.675101	237.073207	244.101719
ENSMUSG00000034098.14	Fstl5	0.132665	0.134586	0	0	0
ENSMUSG00000034101.14	Ctnnd1	55.57254	68.296462	145.460778	133.248506	129.454251
ENSMUSG00000034105.9	Meak7	4.776108	6.802917	9.450373	9.282848	8.291116
ENSMUSG00000034107.10	Ano7	1.093131	0.161446	0	0	0
ENSMUSG00000034108.6	Ccs	40.640379	40.136863	46.60162	40.485138	42.526477
ENSMUSG00000034109.15	Golim4	4.415029	4.064431	95.833647	106.370448	123.492897
ENSMUSG00000034110.8	Kctd7	1.579659	1.464348	1.070625	0.793697	0.808894
ENSMUSG00000034111.6	Tmed8	7.382372	7.596809	11.501457	12.458673	12.854211
ENSMUSG00000034112.9	Atp2c2	0.432535	0.466123	0.434035	0.316865	0.220472
ENSMUSG00000034115.10	Scn11a	0.056851	0	0	0	0
ENSMUSG00000034116.17	Vav1	0.563943	0.252826	0	0	0
ENSMUSG00000034117.3	Ptgdr2	0.077657	0	0	0	0
ENSMUSG00000034118.15	Tpst1	25.40098	24.919933	35.40711	36.546077	37.381496
ENSMUSG00000034120.18	Srsf2	374.295582	413.708304	427.004486	475.340167	490.950956
ENSMUSG00000034121.12	Mks1	15.33172	14.014952	0.850896	0.666387	1.085253
ENSMUSG00000034122.17	Nlrp4d	0	0	0	0	0
ENSMUSG00000034126.5	Pomt2	6.527756	7.44245	13.284732	12.541437	12.442029
ENSMUSG00000034127.15	Tspan8	3.044114	5.422527	0	0	0
ENSMUSG00000034135.15	Sik3	17.369755	19.093767	24.114633	26.683094	27.736216
ENSMUSG00000034139.4	Serpini2	0	0	0	0	0
ENSMUSG00000034145.14	Tmem63c	0.956937	1.604602	0.076085	0	0.293285
ENSMUSG00000034151.13	Zbbx	1.49606	0.528332	0	0	0
ENSMUSG00000034152.6	Exoc3	17.138958	22.163155	18.435293	21.975954	15.881867
ENSMUSG00000034154.15	Ino80	21.174418	23.178414	21.10896	22.932568	24.480402
ENSMUSG00000034156.16	Tspoap1	0.989862	0.889863	0	0	0
ENSMUSG00000034157.12	Cipc	16.695955	18.332421	16.434352	13.148271	15.549853
ENSMUSG00000034158.9	Lrrc58	10.876321	13.105514	38.96826	52.970714	61.567107
ENSMUSG00000034159.12	Mab21l4	0.280052	0.027495	0	0.031288	0.060933
ENSMUSG00000034160.13	Ogt	91.389209	95.913304	65.693394	55.412932	60.940302
ENSMUSG00000034161.8	Scx	0	0	0.288499	0.445804	0.391326
ENSMUSG00000034163.10	Zfc3h1	30.69294	33.838524	43.497446	36.433586	58.220577
ENSMUSG00000034164.17	Emid1	1.54383	2.009488	0.050156	0	0.034436
ENSMUSG00000034165.16	Ccnd3	110.73334	115.966731	32.334704	32.43361	32.114339
ENSMUSG00000034168.7	Irf2bpl	28.91009	34.042672	35.502711	39.714017	33.277947
ENSMUSG00000034171.13	Faah	1.860009	5.409714	1.356083	1.543127	1.658886
ENSMUSG00000034173.13	Zbed5	13.887473	13.164415	3.728151	2.88073	2.662484
ENSMUSG00000034175.13	Rhbdd3	20.372013	19.690569	13.674047	11.098203	13.781047
ENSMUSG00000034177.15	Rnf43	0.662773	0.337878	0.068641	0.076961	0.103837
ENSMUSG00000034185.9	6430628N08Rik	0	0	0	0	0
ENSMUSG00000034187.18	Nsf	34.196449	37.316572	30.023049	31.717535	30.731374
ENSMUSG00000034189.5	Hsdl1	5.735819	7.829036	20.011224	14.984623	15.377215
